ORF1	ORF2	ORF3	ORF4	ORF5	ORF6	stress
YLR100W	YBR041W	YBR002C	none	none	none	Diamide
YLR100W	YHR072W	YBR002C	none	none	none	Diamide
YNR035C	YDL225W	YBR193C	none	none	none	Diamide
YDL111C	YOR076C	YNR024W	none	none	none	Diamide
YDL111C	YNR024W	YIL079C	none	none	none	Diamide
YDL111C	YNR024W	YOR046C	none	none	none	Diamide
YPR025C	YKL028W	YLR185W	none	none	none	Diamide
YHR060W	YGR082W	YBR177C	none	none	none	Diamide
YJL005W	YLR200W	YNL098C	none	none	none	Diamide
YJL005W	YLR200W	YBR140C	none	none	none	Diamide
YJL005W	YLR200W	YOR057W	none	none	none	Diamide
YJL005W	YNL098C	YBR140C	none	none	none	Diamide
YJL005W	YNL098C	YOR057W	none	none	none	Diamide
YJL005W	YBR140C	YOR057W	none	none	none	Diamide
YNL119W	YHR111W	YMR065W	none	none	none	Diamide
YBR175W	YOL045W	YJR070C	none	none	none	Diamide
YDR168W	YJR032W	YPL161C	none	none	none	Diamide
YKR024C	YPR131C	YJR041C	none	none	none	Diamide
YGL121C	YDL200C	YGR184C	none	none	none	Diamide
YBR254C	YGR143W	YFR042W	none	none	none	Diamide
YML103C	YHR036W	YIL040W	none	none	none	Diamide
YML103C	YGL247W	YIL040W	none	none	none	Diamide
YPL147W	YOR128C	YCR066W	none	none	none	Diamide
YBR036C	YPL227C	YDR276C	none	none	none	Diamide
YBR036C	YPL227C	YHR133C	none	none	none	Diamide
YBR036C	YPL227C	YMR272C	none	none	none	Diamide
YBR036C	YPL227C	YPR153W	none	none	none	Diamide
YBR036C	YDR276C	YBR298C	none	none	none	Diamide
YPL138C	YKL186C	YDL207W	none	none	none	Diamide
YOR253W	YGL045W	YPL065W	none	none	none	Diamide
YPR171W	YPL242C	YJR092W	none	none	none	Diamide
YKL186C	YDL207W	YBL079W	none	none	none	Diamide
YML097C	YNL093W	YKR014C	none	none	none	Diamide
YML097C	YNL093W	YAL002W	none	none	none	Diamide
YML097C	YNL093W	YOR370C	none	none	none	Diamide
YML097C	YNL093W	YNL032W	none	none	none	Diamide
YPR066W	YDR139C	YIL046W	none	none	none	Diamide
YBR101C	YLR377C	YNR065C	none	none	none	Diamide
YHL025W	YER161C	YDR168W	none	none	none	Diamide
YHL025W	YER161C	YER032W	none	none	none	Diamide
YOR335C	YOL045W	YBR175W	none	none	none	Diamide
YBR207W	YPR036W	YGR105W	none	none	none	Diamide
YPR101W	YDR482C	YKR086W	none	none	none	Diamide
YPR101W	YMR240C	YBR152W	none	none	none	Diamide
YER105C	YDL207W	YML103C	none	none	none	Diamide
YER105C	YDL207W	YBL079W	none	none	none	Diamide
YPR030W	YOR124C	YBR179C	none	none	none	Diamide
YHR167W	YKR086W	YDR088C	none	none	none	Diamide
YHR167W	YJR032W	YPL161C	none	none	none	Diamide
YKL214C	YGR188C	YDL021W	none	none	none	Diamide
YKL214C	YGR188C	YFL047W	none	none	none	Diamide
YLR192C	YGR118W	YDR079C-A	none	none	none	Diamide
YDR074W	YER019C-A	YOR103C	none	none	none	Diamide
YER100W	YHR111W	YGL211W	none	none	none	Diamide
YKR067W	YPL227C	YBR036C	none	none	none	Diamide
YDR405W	YIL073C	YJL112W	YCL044C	none	none	Diamide
YDR405W	YIL073C	YJL112W	YMR115W	none	none	Diamide
YDR405W	YIL073C	YJL112W	YJR118C	none	none	Diamide
YDR405W	YIL073C	YMR243C	YIL072W	none	none	Diamide
YDR405W	YIL073C	YMR243C	YGL065C	none	none	Diamide
YDR405W	YIL073C	YMR243C	YKL151C	none	none	Diamide
YDR405W	YIL073C	YMR243C	YCL044C	none	none	Diamide
YDR405W	YIL073C	YMR243C	YJR118C	none	none	Diamide
YDR405W	YIL073C	YIL072W	YGL065C	none	none	Diamide
YDR405W	YIL073C	YIL072W	YKL151C	none	none	Diamide
YDR405W	YIL073C	YIL072W	YCL044C	none	none	Diamide
YDR405W	YIL073C	YIL072W	YMR115W	none	none	Diamide
YDR405W	YIL073C	YGL065C	YKL151C	none	none	Diamide
YDR027C	YPR199C	YHR111W	YGL211W	none	none	Diamide
YGL237C	YNR031C	YJL128C	YIL147C	none	none	Diamide
YGL237C	YNR031C	YJL128C	YGR287C	none	none	Diamide
YGL237C	YNR031C	YIL147C	YGR287C	none	none	Diamide
YGL237C	YNR031C	YPR069C	YJL128C	none	none	Diamide
YGL237C	YNR031C	YKL214C	YJL128C	none	none	Diamide
YGL237C	YNR031C	YER043C	YJL128C	none	none	Diamide
YGL237C	YNR031C	YPL166W	YJL128C	none	none	Diamide
YGL237C	YNR031C	YDR517W	YJL128C	none	none	Diamide
YGL237C	YNR031C	YNL063W	YJL128C	none	none	Diamide
YGL237C	YNR031C	YDR022C	YJL128C	none	none	Diamide
YGL237C	YNR031C	YPR085C	YJL128C	none	none	Diamide
YGL237C	YNR031C	YPR085C	YIL147C	none	none	Diamide
YGL237C	YNR031C	YPR085C	YGR287C	none	none	Diamide
YGL237C	YNR031C	YBR085W	YJL128C	none	none	Diamide
YGL237C	YNR031C	YBR085W	YIL147C	none	none	Diamide
YGL237C	YNR031C	YGR267C	YJL128C	none	none	Diamide
YGL237C	YNR031C	YOR047C	YJL128C	none	none	Diamide
YGL237C	YNR031C	YGR146C	YJL128C	none	none	Diamide
YGL237C	YNR031C	YLR114C	YJL128C	none	none	Diamide
YGL237C	YNR031C	YJL128C	YKL038W	none	none	Diamide
YGL237C	YBR085W	YGL167C	YDR245W	none	none	Diamide
YGL237C	YOR047C	YKL002W	YPR173C	none	none	Diamide
YGL237C	YOR047C	YKL038W	YJL128C	none	none	Diamide
YGR278W	YPR101W	YCR063W	YDR088C	none	none	Diamide
YGR278W	YPR101W	YCR063W	YDR482C	none	none	Diamide
YGR278W	YPR101W	YDR088C	YDR482C	none	none	Diamide
YGR278W	YKL095W	YNL245C	YCR063W	none	none	Diamide
YGR278W	YKL095W	YNL245C	YDR482C	none	none	Diamide
YGR278W	YKL095W	YMR288W	YCR063W	none	none	Diamide
YGR278W	YKL095W	YMR288W	YDR482C	none	none	Diamide
YGR278W	YKL095W	YGR049W	YNL245C	none	none	Diamide
YGR278W	YKL095W	YGR049W	YCR063W	none	none	Diamide
YGR278W	YKL095W	YGR049W	YDR482C	none	none	Diamide
YGR278W	YKL095W	YKR086W	YNL245C	none	none	Diamide
YGR278W	YKL095W	YKR086W	YCR063W	none	none	Diamide
YGR278W	YKL095W	YKR086W	YDR482C	none	none	Diamide
YGR278W	YMR288W	YPR101W	YDR088C	none	none	Diamide
YGR278W	YMR288W	YPR101W	YGL174W	none	none	Diamide
YGR278W	YMR288W	YDR416W	YDR088C	none	none	Diamide
YGR278W	YMR288W	YDR416W	YGL174W	none	none	Diamide
YGR278W	YMR288W	YKL095W	YGL174W	none	none	Diamide
YGR278W	YMR288W	YKR086W	YDR088C	none	none	Diamide
YGR278W	YMR288W	YKR086W	YGL174W	none	none	Diamide
YGR278W	YKR086W	YPR101W	YNL245C	none	none	Diamide
YGR278W	YKR086W	YPR101W	YCR063W	none	none	Diamide
YGR278W	YKR086W	YPR101W	YDR088C	none	none	Diamide
YGR278W	YKR086W	YPR101W	YDR482C	none	none	Diamide
YGR278W	YKR086W	YDR416W	YNL245C	none	none	Diamide
YGR278W	YKR086W	YDR416W	YDR088C	none	none	Diamide
YGR278W	YKR086W	YDR416W	YDR482C	none	none	Diamide
YGR278W	YKR086W	YKL095W	YNL245C	none	none	Diamide
YGR278W	YKR086W	YKL095W	YCR063W	none	none	Diamide
YGR278W	YKR086W	YKL095W	YDR088C	none	none	Diamide
YGR278W	YKR086W	YKL095W	YDR482C	none	none	Diamide
YGR278W	YKR086W	YMR288W	YDR088C	none	none	Diamide
YGR278W	YKR086W	YMR288W	YDR482C	none	none	Diamide
YGR278W	YPR101W	YCR063W	YNL252C	none	none	Diamide
YGR278W	YPR101W	YDR088C	YDL144C	none	none	Diamide
YGR278W	YKL095W	YBR065C	YDR088C	none	none	Diamide
YGR278W	YKL095W	YCR063W	YNL252C	none	none	Diamide
YGR278W	YKR086W	YDR088C	YDL144C	none	none	Diamide
YAR042W	YLR119W	YPL002C	YKL041W	none	none	Diamide
YER094C	YBR173C	YLR199C	YKL206C	none	none	Diamide
YER094C	YBR173C	YFL007W	YLR199C	none	none	Diamide
YER094C	YBR173C	YFL007W	YKL206C	none	none	Diamide
YER094C	YBR173C	YCR076C	YLR199C	none	none	Diamide
YER094C	YBR173C	YCR076C	YKL206C	none	none	Diamide
YER094C	YBR173C	YMR037C	YMR016C	none	none	Diamide
YJR093C	YPR074C	YLR221C	YBR117C	none	none	Diamide
YJR093C	YPR074C	YER091C	YBR117C	none	none	Diamide
YJR093C	YHR185C	YLR221C	YIL007C	none	none	Diamide
YJR093C	YHR185C	YJR119C	YIL007C	none	none	Diamide
YKR020W	YBL103C	YNL076W	YIR023W	none	none	Diamide
YNR065C	YPL087W	YER159C	YDL035C	none	none	Diamide
YOR284W	YAL048C	YLR227C	YGL219C	none	none	Diamide
YDR277C	YDR456W	YJL105W	YGR216C	none	none	Diamide
YDR277C	YDR456W	YDL194W	YGR216C	none	none	Diamide
YDR277C	YDR456W	YGR216C	YDR459C	none	none	Diamide
YBR121C	YOL081W	YGR132C	YJL183W	none	none	Diamide
YLR207W	YLR056W	YML075C	YNL280C	none	none	Diamide
YLR207W	YLR056W	YMR297W	YNL280C	none	none	Diamide
YML067C	YPL234C	YGR105W	YMR123W	none	none	Diamide
YML067C	YPL234C	YGR105W	YCL005W-A	none	none	Diamide
YJR131W	YBR255C-A	YJL166W	YNR018W	none	none	Diamide
YJR131W	YBR255C-A	YCL001W	YJL166W	none	none	Diamide
YJR131W	YBR255C-A	YCL001W	YNR018W	none	none	Diamide
YHR051W	YEL024W	YGR033C	YNR018W	none	none	Diamide
YHR051W	YLR203C	YOR065W	YDR316W	none	none	Diamide
YHR051W	YJL062W-A	YOR065W	YDR316W	none	none	Diamide
YHR051W	YEL024W	YGR033C	YIL022W	none	none	Diamide
YHR051W	YEL024W	YGR033C	YPL098C	none	none	Diamide
YHR051W	YEL024W	YDL200C	YLL011W	none	none	Diamide
YHR051W	YLR203C	YLR067C	YER153C	none	none	Diamide
YHR051W	YOR065W	YKR066C	YKR097W	none	none	Diamide
YHR051W	YOR065W	YBR230C	YMR241W	none	none	Diamide
YGR116W	YBR193C	YBR236C	YNR035C	none	none	Diamide
YGR116W	YBR193C	YOL005C	YNR035C	none	none	Diamide
YMR241W	YBR230C	YGR255C	YOR065W	none	none	Diamide
YMR241W	YGR255C	YML110C	YHR111W	none	none	Diamide
YGL092W	YML103C	YGL247W	YIL040W	none	none	Diamide
YGL092W	YBL079W	YML031W	YHR036W	none	none	Diamide
YNL314W	YIR023W	YIL153W	YBL103C	none	none	Diamide
YNL314W	YIR023W	YOR304C-A	YBL103C	none	none	Diamide
YNL314W	YOR304C-A	YIR023W	YJR075W	none	none	Diamide
YKL161C	YIL122W	YGL181W	YHR177W	none	none	Diamide
YDR044W	YGR087C	YPL022W	YBL036C	none	none	Diamide
YDR044W	YGR087C	YCL043C	YPL022W	none	none	Diamide
YDR044W	YGR087C	YOR093C	YPL022W	none	none	Diamide
YDR044W	YGR087C	YOR093C	YBL036C	none	none	Diamide
YDR044W	YGR087C	YPL022W	YNL116W	none	none	Diamide
YDR044W	YGR087C	YBL036C	YDR226W	none	none	Diamide
YMR089C	YGR231C	YGL167C	YBR262C	none	none	Diamide
YMR089C	YGR231C	YKL128C	YGL167C	none	none	Diamide
YMR089C	YGR231C	YCL057C-A	YKR065C	none	none	Diamide
YHR188C	YHL017W	YJL004C	YDR284C	none	none	Diamide
YNL245C	YKR086W	YHR167W	YCR063W	none	none	Diamide
YNL245C	YKR086W	YHR167W	YDR482C	none	none	Diamide
YDL171C	YNR019W	YDR219C	YMR175W	none	none	Diamide
YKR072C	YOR054C	YHR039C	YMR272C	none	none	Diamide
YKR072C	YPR113W	YLR072W	YAL048C	none	none	Diamide
YKR072C	YPR113W	YLR072W	YGL219C	none	none	Diamide
YKR072C	YPR113W	YHR039C	YMR272C	none	none	Diamide
YKR072C	YPR113W	YIL027C	YMR272C	none	none	Diamide
YOR147W	YHR194W	YPL117C	YMR256C	none	none	Diamide
YGL209W	YLR193C	YPR075C	YKL053C-A	none	none	Diamide
YGL209W	YLR193C	YKL053C-A	YDR185C	none	none	Diamide
YML029W	YAL023C	YML013W	YDL093W	none	none	Diamide
YML029W	YAL023C	YNL294C	YDL093W	none	none	Diamide
YML029W	YAL023C	YNL219C	YDL093W	none	none	Diamide
YML029W	YML013W	YGR082W	YLR168C	none	none	Diamide
YOR059C	YBR041W	YLR100W	YLR056W	none	none	Diamide
YOR059C	YBR041W	YLR100W	YNL280C	none	none	Diamide
YOR059C	YBR041W	YLR144C	YML013W	none	none	Diamide
YOR059C	YBR041W	YHR072W	YLR056W	none	none	Diamide
YKR028W	YGL237C	YKL214C	YPR085C	none	none	Diamide
YKR028W	YGL237C	YKL214C	YBR085W	none	none	Diamide
YKR028W	YGL237C	YPR085C	YBR085W	none	none	Diamide
YDR259C	YGL181W	YKL071W	YHR177W	none	none	Diamide
YDR259C	YNL092W	YJR097W	YHR205W	none	none	Diamide
YPL234C	YGR105W	YPL264C	YMR123W	none	none	Diamide
YPL234C	YPL264C	YGR105W	YJL004C	none	none	Diamide
YHR201C	YJL165C	YDR168W	YDR463W	none	none	Diamide
YHR201C	YJL165C	YDR168W	YCL055W	none	none	Diamide
YHR201C	YJL165C	YDR168W	YER045C	none	none	Diamide
YHR201C	YJL165C	YDR168W	YML041C	none	none	Diamide
YNL027W	YOL001W	YFL033C	YBR035C	none	none	Diamide
YOL045W	YBR177C	YGR082W	YLL012W	none	none	Diamide
YOL045W	YBR177C	YNR064C	YGR082W	none	none	Diamide
YOL045W	YBR177C	YKL035W	YGR082W	none	none	Diamide
YOL045W	YBR177C	YMR041C	YGR082W	none	none	Diamide
YPL002C	YCR065W	YML051W	YDR273W	none	none	Diamide
YDR488C	YHR129C	YNR058W	YLL049W	none	none	Diamide
YDR488C	YHR129C	YOR172W	YLL049W	none	none	Diamide
YNL232W	YOR076C	YDR398W	YIR035C	none	none	Diamide
YNL232W	YDR466W	YLR060W	YGR078C	none	none	Diamide
YNL232W	YDR466W	YLR060W	YJL089W	none	none	Diamide
YNL232W	YDR466W	YGR078C	YDR161W	none	none	Diamide
YNL232W	YDR466W	YDR161W	YML037C	none	none	Diamide
YNL232W	YOR076C	YDR398W	YGL213C	none	none	Diamide
YNL232W	YOR076C	YIR035C	YGL213C	none	none	Diamide
YNL232W	YDR398W	YOR076C	YDR236C	none	none	Diamide
YNL232W	YDR398W	YIR035C	YDR236C	none	none	Diamide
YNL232W	YDR466W	YOR076C	YGR078C	none	none	Diamide
YNL232W	YDR466W	YDR398W	YGR078C	none	none	Diamide
YNL232W	YDR466W	YDR398W	YDR161W	none	none	Diamide
YNL232W	YDR466W	YIR035C	YJL089W	none	none	Diamide
YNL232W	YDR466W	YIR035C	YDR161W	none	none	Diamide
YNL232W	YNR024W	YOR076C	YIL079C	none	none	Diamide
YNL232W	YNR024W	YDR398W	YIL079C	none	none	Diamide
YNL232W	YNR024W	YIR035C	YIL079C	none	none	Diamide
YNL232W	YOR076C	YPR189W	YLR090W	none	none	Diamide
YNL232W	YOR076C	YGL213C	YJL136C	none	none	Diamide
YNL232W	YDR398W	YFL045C	YDL059C	none	none	Diamide
YNL232W	YDR398W	YNR032C-A	YDL223C	none	none	Diamide
YNL232W	YDR398W	YIL127C	YDR289C	none	none	Diamide
YGL208W	YGR231C	YGL167C	YIL146C	none	none	Diamide
YLR131C	YNL157W	YFL033C	YML017W	none	none	Diamide
YLR131C	YNL157W	YFL033C	YOL081W	none	none	Diamide
YLR131C	YNL157W	YPL227C	YMR272C	none	none	Diamide
YIL046W	YDR139C	YML082W	YNL281W	none	none	Diamide
YIL046W	YJL058C	YJR131W	YLR295C	none	none	Diamide
YNL052W	YOR231W	YBR260C	YOR109W	none	none	Diamide
YNL052W	YOR231W	YER139C	YOL005C	none	none	Diamide
YNL052W	YOR231W	YLR313C	YPL140C	none	none	Diamide
YGL043W	YOL005C	YPR008W	YDL115C	none	none	Diamide
YDL155W	YER107C	YMR036C	YML103C	none	none	Diamide
YDL155W	YER107C	YER040W	YML103C	none	none	Diamide
YGR082W	YML013W	YBR177C	YLR207W	none	none	Diamide
YGR082W	YML013W	YMR299C	YDR057W	none	none	Diamide
YGR082W	YML013W	YMR299C	YNL155W	none	none	Diamide
YGR082W	YML013W	YLR168C	YDR057W	none	none	Diamide
YGR082W	YML013W	YLR168C	YLR207W	none	none	Diamide
YGR082W	YML013W	YLR168C	YNL155W	none	none	Diamide
YGR082W	YML086C	YML013W	YAL008W	none	none	Diamide
YGR082W	YML086C	YBR177C	YAL008W	none	none	Diamide
YGR082W	YLR168C	YML013W	YKL053C-A	none	none	Diamide
YGR082W	YLR168C	YBR177C	YKL053C-A	none	none	Diamide
YGR082W	YML013W	YLR207W	YLR056W	none	none	Diamide
YGR082W	YBR177C	YHR072W	YLR056W	none	none	Diamide
YGR082W	YLR168C	YPR024W	YMR115W	none	none	Diamide
YGR082W	YLR168C	YKL053C-A	YLR193C	none	none	Diamide
YDR207C	YOR355W	YDL012C	YNL091W	none	none	Diamide
YDR207C	YML099C	YOR355W	YGR122W	none	none	Diamide
YDR207C	YOR355W	YPR048W	YNL240C	none	none	Diamide
YDR207C	YOR355W	YNL091W	YPL140C	none	none	Diamide
YDR207C	YOR355W	YNL091W	YPL032C	none	none	Diamide
YDR207C	YOR355W	YNL091W	YKL075C	none	none	Diamide
YBR037C	YPR079W	YLL009C	YKR093W	none	none	Diamide
YBR037C	YPR079W	YLL009C	YPL162C	none	none	Diamide
YGR195W	YNR024W	YGR134W	YOR046C	none	none	Diamide
YGR195W	YOR076C	YGL213C	YJL136C	none	none	Diamide
YGR195W	YDL165W	YKL002W	YPR173C	none	none	Diamide
YGR195W	YKR034W	YGR047C	YDL150W	none	none	Diamide
YNL005C	YGR091W	YJR055W	YHR040W	none	none	Diamide
YHL018W	YDL214C	YIL107C	YLR089C	none	none	Diamide
YGR196C	YNL094W	YOR231W	YOR043W	none	none	Diamide
YGR196C	YIL131C	YER040W	YGL167C	none	none	Diamide
YLL048C	YCR061W	YBR036C	YDL035C	none	none	Diamide
YLL048C	YCR061W	YMR192W	YDL035C	none	none	Diamide
YMR105C	YDL059C	YDR306C	YKL127W	none	none	Diamide
YLR368W	YML051W	YHR075C	YOR370C	none	none	Diamide
YLR368W	YML051W	YPR093C	YOR370C	none	none	Diamide
YLR368W	YML051W	YPR078C	YOR370C	none	none	Diamide
YBR193C	YKL038W	YLR295C	YJL128C	none	none	Diamide
YBR193C	YKL038W	YJL128C	YNR031C	none	none	Diamide
YBR193C	YKL038W	YJL128C	YNL053W	none	none	Diamide
YBR290W	YPL227C	YPL264C	YMR272C	none	none	Diamide
YBR290W	YPL227C	YCL052C	YMR272C	none	none	Diamide
YBR290W	YPL227C	YBR110W	YMR272C	none	none	Diamide
YBR290W	YPL227C	YGL012W	YPL264C	none	none	Diamide
YBR290W	YPL227C	YGL012W	YMR272C	none	none	Diamide
YBR290W	YPL227C	YDR297W	YMR272C	none	none	Diamide
YBR290W	YPL227C	YPL087W	YMR272C	none	none	Diamide
YBR290W	YPL227C	YAL018C	YMR272C	none	none	Diamide
YBR290W	YBR110W	YGL012W	YGL065C	none	none	Diamide
YBR290W	YBR110W	YGL012W	YGR105W	none	none	Diamide
YBR290W	YBR110W	YGL012W	YPL264C	none	none	Diamide
YBR290W	YGL012W	YPL227C	YMR015C	none	none	Diamide
YBR290W	YGL012W	YCL052C	YMR015C	none	none	Diamide
YBR290W	YGL012W	YBR110W	YMR015C	none	none	Diamide
YBR290W	YGL012W	YPL176C	YMR015C	none	none	Diamide
YBR290W	YGL012W	YJL196C	YMR015C	none	none	Diamide
YBR290W	YGL012W	YPL132W	YMR015C	none	none	Diamide
YBR290W	YGL012W	YDR297W	YMR015C	none	none	Diamide
YBR290W	YGL012W	YPL087W	YMR015C	none	none	Diamide
YBR290W	YGL012W	YAL018C	YMR015C	none	none	Diamide
YBR290W	YGL012W	YIL114C	YMR015C	none	none	Diamide
YBR290W	YGL012W	YLR004C	YMR015C	none	none	Diamide
YBR290W	YDR297W	YGL012W	YPL264C	none	none	Diamide
YBR290W	YBR110W	YGR105W	YMR123W	none	none	Diamide
YBR290W	YBR110W	YGR105W	YCL005W-A	none	none	Diamide
YER107C	YDL207W	YML103C	YBL079W	none	none	Diamide
YER107C	YER105C	YGL092W	YKR082W	none	none	Diamide
YER107C	YER105C	YJR042W	YKR082W	none	none	Diamide
YER107C	YDL207W	YGL092W	YKR082W	none	none	Diamide
YER107C	YER105C	YDL207W	YKR082W	none	none	Diamide
YER107C	YER105C	YML103C	YGL092W	none	none	Diamide
YER107C	YER105C	YML103C	YJR042W	none	none	Diamide
YER107C	YER105C	YML103C	YKR082W	none	none	Diamide
YER107C	YER105C	YBL079W	YGL092W	none	none	Diamide
YER107C	YER105C	YBL079W	YJR042W	none	none	Diamide
YER107C	YER105C	YBL079W	YKR082W	none	none	Diamide
YER107C	YDL207W	YER105C	YGL092W	none	none	Diamide
YER107C	YDL207W	YER105C	YKR082W	none	none	Diamide
YER107C	YDL207W	YML103C	YGL092W	none	none	Diamide
YER107C	YDL207W	YML103C	YKR082W	none	none	Diamide
YER107C	YDL207W	YBL079W	YGL092W	none	none	Diamide
YER107C	YDL207W	YBL079W	YKR082W	none	none	Diamide
YER107C	YML103C	YER105C	YGL092W	none	none	Diamide
YER107C	YML103C	YER105C	YKR082W	none	none	Diamide
YER107C	YML103C	YER105C	YGL247W	none	none	Diamide
YER107C	YML103C	YDL207W	YGL092W	none	none	Diamide
YER107C	YML103C	YDL207W	YKR082W	none	none	Diamide
YER107C	YML103C	YDL207W	YGL247W	none	none	Diamide
YER107C	YML103C	YBL079W	YGL092W	none	none	Diamide
YER107C	YML103C	YBL079W	YGL247W	none	none	Diamide
YER107C	YBL079W	YDL207W	YGL092W	none	none	Diamide
YER107C	YBL079W	YML103C	YGL092W	none	none	Diamide
YER107C	YER105C	YKR082W	YDR424C	none	none	Diamide
YER107C	YDL207W	YKR082W	YDR424C	none	none	Diamide
YER107C	YDL207W	YOR046C	YIL106W	none	none	Diamide
YER107C	YML103C	YKR082W	YDR424C	none	none	Diamide
YER107C	YBL079W	YKL057C	YKR082W	none	none	Diamide
YER107C	YBL079W	YGL092W	YKR082W	none	none	Diamide
YOR211C	YDR276C	YCL025C	YPL227C	none	none	Diamide
YNL076W	YBL103C	YCR048W	YOR334W	none	none	Diamide
YMR061W	YBR103W	YGR156W	YJR141W	none	none	Diamide
YMR061W	YJR093C	YNL092W	YOR329C	none	none	Diamide
YML006C	YFL054C	YKL142W	YEL043W	none	none	Diamide
YPR055W	YPR032W	YAL030W	YJL204C	none	none	Diamide
YPL085W	YNL049C	YCR067C	YDR517W	none	none	Diamide
YPL085W	YNL049C	YIL051C	YDR517W	none	none	Diamide
YPL085W	YIL051C	YCR067C	YDR374C	none	none	Diamide
YPL085W	YIL051C	YNL049C	YDR374C	none	none	Diamide
YPL085W	YNL049C	YDR517W	YHR098C	none	none	Diamide
YPL085W	YPL227C	YKL008C	YDR434W	none	none	Diamide
YPL085W	YPL227C	YCL001W	YNR026C	none	none	Diamide
YPL085W	YIL051C	YDL137W	YHR188C	none	none	Diamide
YMR115W	YGL080W	YPR024W	YGR243W	none	none	Diamide
YER139C	YKL048C	YHR111W	YML110C	none	none	Diamide
YER139C	YMR291W	YCL043C	YAL023C	none	none	Diamide
YPR032W	YPL006W	YGL006W	YDR339C	none	none	Diamide
YPR032W	YPL006W	YDR011W	YGL056C	none	none	Diamide
YEL036C	YBR290W	YHR133C	YPL227C	none	none	Diamide
YEL036C	YGL167C	YPR185W	YIL146C	none	none	Diamide
YEL036C	YML115C	YBR290W	YBR205W	none	none	Diamide
YEL036C	YML115C	YGL167C	YBR205W	none	none	Diamide
YEL036C	YBR290W	YML115C	YHR133C	none	none	Diamide
YBR036C	YPL227C	YDR276C	YER026C	YHR133C	none	Diamide
YBR036C	YPL227C	YCL001W	YMR272C	YNR026C	none	Diamide
YBR036C	YPL227C	YCL001W	YPR153W	YNR026C	none	Diamide
YBR036C	YPL227C	YMR272C	YHR133C	YIL027C	none	Diamide
YBR036C	YPL227C	YMR272C	YBR290W	YIL027C	none	Diamide
YBR036C	YPL227C	YMR272C	YCL001W	YIL027C	none	Diamide
YBR036C	YPL227C	YMR272C	YHR123W	YIL027C	none	Diamide
YBR036C	YPL227C	YMR272C	YPL087W	YIL027C	none	Diamide
YBR036C	YPL227C	YMR272C	YPR153W	YIL027C	none	Diamide
YBR036C	YPL227C	YHR026W	YMR272C	YIL027C	none	Diamide
YBR036C	YPL227C	YCL052C	YHR133C	YML075C	none	Diamide
YBR036C	YPL227C	YCL052C	YHR133C	YNL321W	none	Diamide
YBR036C	YPL227C	YCL052C	YCL001W	YNR026C	none	Diamide
YBR036C	YPL227C	YCL052C	YMR272C	YIL027C	none	Diamide
YBR036C	YPL227C	YPL264C	YMR272C	YIL027C	none	Diamide
YBR036C	YPL227C	YPR198W	YMR272C	YIL027C	none	Diamide
YBR036C	YPL227C	YHR110W	YMR272C	YIL027C	none	Diamide
YBR036C	YPL227C	YJL196C	YHR133C	YML075C	none	Diamide
YPR101W	YMR240C	YDR163W	YBR152W	YGL174W	none	Diamide
YLL040C	YJL105W	YGL006W	YPR036W	YGR105W	none	Diamide
YJR134C	YOR058C	YJR053W	YHR061C	YNL233W	none	Diamide
YMR288W	YDR088C	YGL174W	YBR152W	YKR086W	none	Diamide
YLR192C	YGR118W	YNL001W	YIL073C	YDR302W	none	Diamide
YER100W	YHR111W	YIL008W	YGL211W	YPR199C	none	Diamide
YER100W	YHR111W	YML110C	YIL008W	YLR290C	none	Diamide
YER100W	YHR111W	YML110C	YGL211W	YLR290C	none	Diamide
YKR067W	YPL227C	YBR036C	YKL008C	YCL052C	none	Diamide
YKR067W	YPL227C	YBR036C	YHR133C	YCL052C	none	Diamide
YKR067W	YPL227C	YBR036C	YHR123W	YCL052C	none	Diamide
YDR115W	YKL142W	YOL059W	YMR165C	YPL022W	none	Diamide
YDR115W	YKL142W	YOL059W	YLR179C	YPL022W	none	Diamide
YDR115W	YKL142W	YOL059W	YPL022W	YNL116W	none	Diamide
YGL130W	YIL131C	YER040W	YGL167C	YDR245W	none	Diamide
YGL130W	YIL131C	YER040W	YGL167C	YGR231C	none	Diamide
YMR079W	YPR113W	YHR039C	YGL084C	YMR272C	none	Diamide
YMR079W	YPR113W	YMR015C	YHR072W	YLR056W	none	Diamide
YBR158W	YGR163W	YGL006W	YPR036W	YDR105C	none	Diamide
YBR158W	YLR131C	YDL155W	YER040W	YGL167C	none	Diamide
YDR027C	YFL029C	YDR168W	YFL033C	YML041C	YOL081W	Diamide
YGL237C	YBR085W	YPR069C	YNL063W	YGL167C	YDR245W	Diamide
YGL237C	YBR085W	YNR031C	YNL063W	YGL167C	YDR245W	Diamide
YGL237C	YBR085W	YNL063W	YPR069C	YGL167C	YDR245W	Diamide
YGL237C	YBR085W	YNL063W	YNR031C	YGL167C	YDR245W	Diamide
YGL237C	YKL214C	YGR188C	YNL265C	YPR173C	YKL041W	Diamide
YGL237C	YNR031C	YPR085C	YJL128C	YIL147C	YKL038W	Diamide
YGL237C	YNR031C	YPR085C	YJL128C	YMR196W	YKL038W	Diamide
YGR278W	YPR101W	YKL095W	YGR049W	YKR086W	YDR482C	Diamide
YGR278W	YPR101W	YKL095W	YKR086W	YMR288W	YCR063W	Diamide
YGR278W	YPR101W	YKL095W	YKR086W	YMR288W	YDR088C	Diamide
