name	gene	type	size
YAL018C	LDS1	other	4
YBR110W	ALG1	other	4
YBR290W	BSD2	other	4
YCL005W-A	VMA9	other	4
YCL052C	PBN1	other	4
YDR297W	SUR2	other	4
YGL012W	ERG4	other	4
YGL065C	ALG2	other	4
YGR105W	VMA21	other	4
YIL114C	POR2	other	4
YJL196C	ELO1	other	4
YLR004C	THI73	other	4
YMR015C	ERG5	other	4
YMR123W	PKR1	other	4
YMR272C	SCS7	other	4
YPL087W	YDC1	other	4
YPL176C	TRE1	other	4
YPL227C	ALG5	other	4
YPL264C	YPL264C	other	4
