name	gene	type	size
YBL079W	NUP170	other	4
YDL207W	GLE1	other	4
YDR458C	HEH2	other	4
YER105C	NUP157	other	4
YER107C	GLE2	other	4
YGL092W	NUP145	other	4
YHR036W	BRL1	other	4
YJR042W	NUP85	other	4
YKL186C	MTR2	other	4
YKR082W	NUP133	other	4
YLR371W	ROM2	other	4
YML031W	NDC1	other	4
YML103C	NUP188	other	4
YMR209C	YMR209C	other	4
YOR046C	DBP5	other	4
YOR176W	HEM15	other	4
YPL215W	CBP3	other	4
