name	gene	type	size
YBR152W	SPP381	other	4
YCR063W	BUD31	other	4
YDR088C	SLU7	other	4
YDR163W	CWC15	other	4
YDR364C	CDC40	other	4
YDR482C	CWC21	other	4
YGL174W	BUD13	other	4
YGR278W	CWC22	other	4
YKL095W	YJU2	other	4
YKR086W	PRP16	other	4
YLR090W	XDJ1	other	4
YMR240C	CUS1	other	4
YPR101W	SNT309	other	4
