from	to	type	weight	strength
YHR111W	YIL008W	PPI	1	0
YHR111W	YKL048C	PPI	1	0
YHR111W	YML110C	PPI	1	0
YHR111W	YNL119W	PPI	1	0
YHR111W	YGL211W	PPI	1	0
YHR111W	YMR065W	PPI	1	0
YIL008W	YNL119W	PPI	1	0
YIL008W	YGL211W	PPI	1	0
YKL142W	YKL048C	PPI	1	0
YML110C	YNL263C	PPI	1	0
YGL211W	YNL119W	PPI	1	0
YIL008W	YGL211W	GIpos	0.083	0.15
YIL008W	YML110C	GIpos	0.11699999999999999	0.15
YIL008W	YNL119W	GIpos	0.18600000000000003	0.15
YIL008W	YKL048C	GIneg	-0.08	0.15
YHR111W	YGL211W	GIpos	0.22899999999999998	0.15
YHR111W	YML110C	GIpos	0.063	0.15
YHR111W	YNL119W	GIpos	0.243	0.15
YML110C	YGL211W	GIpos	0.059000000000000004	0.15
YML110C	YNL119W	GIpos	0.11199999999999999	0.15
YML110C	YKL048C	GIpos	0.16	0.15
YKL142W	YNL119W	GIneg	-0.105	0.15
YMR065W	YNL119W	GIneg	-0.073	0.15
YGL211W	YNL119W	GIpos	0.218	0.15
YKL048C	YNL119W	GIpos	0.09300000000000001	0.15
YKL048C	YNL263C	GIneg	-0.29600000000000004	0.15
