name	gene	type	size
YDR036C	EHD3	other	4
YDR259C	YAP6	other	4
YDR337W	MRPS28	other	4
YER100W	UBC6	other	4
YGL181W	GTS1	other	4
YGL211W	NCS6	other	4
YHR111W	UBA4	other	4
YHR177W	YHR177W	other	4
YHR205W	SCH9	other	4
YIL153W	RRD1	other	4
YJL131C	AIM23	other	4
YJR097W	JJJ3	other	4
YKL048C	ELM1	other	4
YKL071W	YKL071W	other	4
YKL142W	MRP8	other	4
YLR397C	AFG2	other	4
YML110C	COQ5	other	4
YNL021W	HDA1	other	4
YNL092W	YNL092W	other	4
