name	gene	type	size
YBR152W	SPP381	other	4
YBR237W	PRP5	other	4
YCR063W	BUD31	other	4
YDR088C	SLU7	other	4
YDR163W	CWC15	other	4
YDR482C	CWC21	other	4
YGL174W	BUD13	other	4
YHR167W	THP2	other	4
YKL095W	YJU2	other	4
YKR086W	PRP16	other	4
YLR090W	XDJ1	other	4
YLR298C	YHC1	other	4
YMR240C	CUS1	other	4
YMR288W	HSH155	other	4
YNR032C-A	HUB1	other	4
YPR101W	SNT309	other	4
