name	gene	type	size
YBL079W	NUP170	other	4
YDL111C	RRP42	other	4
YDL207W	GLE1	other	4
YDR424C	DYN2	other	4
YER105C	NUP157	other	4
YER107C	GLE2	other	4
YGL092W	NUP145	other	4
YIL106W	MOB1	other	4
YJR042W	NUP85	other	4
YKL057C	NUP120	other	4
YKR082W	NUP133	other	4
YML103C	NUP188	other	4
YNR024W	MPP6	other	4
YOR046C	DBP5	other	4
