BioGRID ID	PubMed ID	Query ORF	Query gene	Query allele	Suppressor ORF	Suppressor gene	Suppressor allele	Note
83591	12077337	YOL001W	PHO80	Deletion allele	YFR034C	PHO4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
84289	12077337	YOL001W	PHO80	Deletion allele	YJL012C	VTC4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159175	11486011	YDR477W	SNF1	Deletion allele	YNR016C	ACC1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159176	11014803	YOL076W	MDM20	Deletion allele	YFL039C	ACT1	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
159177	10953013	YOR122C	PFY1	Hypomorphic allele (TS, DAmP, etc)	YFL039C	ACT1	Specific mutation (activating mutant, phospho-mutant, etc)	
159182	2656402	YDR129C	SAC6	Hypomorphic allele (TS, DAmP, etc)	YFL039C	ACT1	Hypomorphic allele (TS, DAmP, etc)	
159183	2656402	YFL039C	ACT1	Hypomorphic allele (TS, DAmP, etc)	YDR129C	SAC6	Hypomorphic allele (TS, DAmP, etc)	
159186	2656402	YDR129C	SAC6	Hypomorphic allele (TS, DAmP, etc)	YFL039C	ACT1	Hypomorphic allele (TS, DAmP, etc)	
159187	2656402	YFL039C	ACT1	Hypomorphic allele (TS, DAmP, etc)	YDR129C	SAC6	Hypomorphic allele (TS, DAmP, etc)	
159192	12956961	YOR329C	SCD5	Hypomorphic allele (TS, DAmP, etc)	YBR059C	AKL1	Deletion allele	
159193	9763440	YGL027C	CWH41	Deletion allele	YPL227C	ALG5	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159195	9927726	YKL113C	RAD27	Deletion allele	YKL114C	APN1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159200	11454748	YFR029W	PTR3	Deletion allele	YMR119W	ASI1	Spontaneous mutation	
159201	11454748	YDR160W	SSY1	Deletion allele	YMR119W	ASI1	Spontaneous mutation	
159202	11454748	YFR029W	PTR3	Deletion allele	YNL159C	ASI2	Spontaneous mutation	
159203	11454748	YDR160W	SSY1	Deletion allele	YNL159C	ASI2	Spontaneous mutation	
159204	11454748	YFR029W	PTR3	Deletion allele	YNL008C	ASI3	Spontaneous mutation	
159205	11454748	YDR160W	SSY1	Deletion allele	YNL008C	ASI3	Spontaneous mutation	
159206	12524335	YPR024W	YME1	Deletion allele	YBL099W	ATP1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159213	1729597	YBL105C	PKC1	Deletion allele	YJL095W	BCK1	Spontaneous mutation	
159220	6285379	YJL005W	CYR1	Specific mutation (activating mutant, phospho-mutant, etc)	YIL033C	BCY1	Spontaneous mutation	
159221	6292221	YNL098C	RAS2	Hypomorphic allele (TS, DAmP, etc)	YIL033C	BCY1	Specific mutation (activating mutant, phospho-mutant, etc)	
159231	1656238	YGL190C	CDC55	Hypomorphic allele (TS, DAmP, etc)	YER155C	BEM2	Spontaneous mutation	
159234	11959999	YMR001C	CDC5	Hypomorphic allele (TS, DAmP, etc)	YJR053W	BFA1	Deletion allele	
159235	11733064	YMR001C	CDC5	Hypomorphic allele (TS, DAmP, etc)	YJR053W	BFA1	Deletion allele	
159238	11454748	YFR029W	PTR3	Deletion allele	YPL084W	BRO1	Spontaneous mutation	
159239	11454748	YDR160W	SSY1	Deletion allele	YPL084W	BRO1	Spontaneous mutation	
159243	9115231	YJR104C	SOD1	Deletion allele	YBR290W	BSD2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159251	11959999	YMR001C	CDC5	Hypomorphic allele (TS, DAmP, etc)	YMR055C	BUB2	Deletion allele	
159252	11733064	YMR001C	CDC5	Hypomorphic allele (TS, DAmP, etc)	YMR055C	BUB2	Deletion allele	
159258	11454748	YFR029W	PTR3	Deletion allele	YMR275C	BUL1	Spontaneous mutation	
159259	11454748	YDR160W	SSY1	Deletion allele	YMR275C	BUL1	Spontaneous mutation	
159260	10366593	YML104C	MDM1	Hypomorphic allele (TS, DAmP, etc)	YMR275C	BUL1	Specific mutation (activating mutant, phospho-mutant, etc)	
159264	11696541	YCR093W	CDC39	Specific mutation (activating mutant, phospho-mutant, etc)	YNR052C	POP2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159265	11696541	YIL038C	NOT3	Deletion allele	YNR052C	POP2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159269	9671455	YER022W	SRB4	Hypomorphic allele (TS, DAmP, etc)	YNR052C	POP2	Spontaneous mutation	
159270	7635279	YML032C	RAD52	Specific mutation (activating mutant, phospho-mutant, etc)	YNR052C	POP2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159275	10975521	YIL046W	MET30	Hypomorphic allele (TS, DAmP, etc)	YJR060W	CBF1	Deletion allele	
159277	11696541	YCR093W	CDC39	Specific mutation (activating mutant, phospho-mutant, etc)	YAL021C	CCR4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159278	11696541	YIL038C	NOT3	Deletion allele	YAL021C	CCR4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159286	7635279	YML032C	RAD52	Specific mutation (activating mutant, phospho-mutant, etc)	YAL021C	CCR4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159291	11914130	YAR019C	CDC15	Deletion allele	YFR028C	CDC14	Spontaneous mutation	
159293	11511359	YML064C	TEM1	Deletion allele	YFR028C	CDC14	Specific mutation (activating mutant, phospho-mutant, etc)	
159297	10837230	YML064C	TEM1	Hypomorphic allele (TS, DAmP, etc)	YAR019C	CDC15	Specific mutation (activating mutant, phospho-mutant, etc)	
159298	8668128	YAL024C	LTE1	Deletion allele	YAR019C	CDC15	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159300	11527976	YFL029C	CAK1	Hypomorphic allele (TS, DAmP, etc)	YBR160W	CDC28	Overexpression of a mutant allele	
159302	9566911	YFL029C	CAK1	Deletion allele	YBR160W	CDC28	Specific mutation (activating mutant, phospho-mutant, etc)	
159304	9001215	YGL190C	CDC55	Deletion allele	YBR160W	CDC28	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
159307	11156974	YNL188W	KAR1	Hypomorphic allele (TS, DAmP, etc)	YOR257W	CDC31	Hypomorphic allele (TS, DAmP, etc)	
159308	8070654	YNL188W	KAR1	Deletion allele	YOR257W	CDC31	Specific mutation (activating mutant, phospho-mutant, etc)	
159309	8070654	YOR257W	CDC31	Hypomorphic allele (TS, DAmP, etc)	YNL188W	KAR1	Deletion allele	
159319	10409741	YGL116W	CDC20	Hypomorphic allele (TS, DAmP, etc)	YFL009W	CDC4	Spontaneous mutation	
159323	9096361	YDL017W	CDC7	Hypomorphic allele (TS, DAmP, etc)	YLR274W	MCM5	Spontaneous mutation	
159324	9096361	YDR052C	DBF4	Hypomorphic allele (TS, DAmP, etc)	YLR274W	MCM5	Spontaneous mutation	
159328	9001215	YGL116W	CDC20	Hypomorphic allele (TS, DAmP, etc)	YGL190C	CDC55	Deletion allele	
159332	1398064	YML123C	PHO84	Deletion allele	YJR060W	CBF1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159333	9323359	YER086W	ILV1	Deletion allele	YLR098C	CHA4	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159336	12682017	YML010W	SPT5	Hypomorphic allele (TS, DAmP, etc)	YER164W	CHD1	Deletion allele	
159337	11014804	YML069W	POB3	Specific mutation (activating mutant, phospho-mutant, etc)	YER164W	CHD1	Deletion allele	
159338	12154123	YMR284W	YKU70	Deletion allele	YBR274W	CHK1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159339	9215891	YMR138W	CIN4	Specific mutation (activating mutant, phospho-mutant, etc)	YOR349W	CIN1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159342	11916983	YMR079W	SEC14	Hypomorphic allele (TS, DAmP, etc)	YLR133W	CKI1	Deletion allele	
159343	7958905	YFR005C	SAD1	Specific mutation (activating mutant, phospho-mutant, etc)	YBR135W	CKS1	Hypomorphic allele (TS, DAmP, etc)	Conditional Suppression (excl. high temp for TS alleles)
159348	8134345	YPR103W	PRE2	Deletion allele	YPR119W	CLB2	Deletion allele	
159349	12136008	YDR478W	SNM1	Hypomorphic allele (TS, DAmP, etc)	YPR120C	CLB5	Deletion allele	
159363	1828190	YPR161C	SGV1	Hypomorphic allele (TS, DAmP, etc)	YAL040C	CLN3	Overexpression of a mutant allele	
159364	14583627	YLR113W	HOG1	Deletion allele	YKL190W	CNB1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159365	9560393	YDR182W	CDC1	Hypomorphic allele (TS, DAmP, etc)	YCR044C	PER1	Spontaneous mutation	
159366	9162111	YER154W	OXA1	Hypomorphic allele (TS, DAmP, etc)	Q0250	COX2	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159367	10048025	YDR283C	GCN2	Deletion allele	YMR116C	ASC1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159369	12446563	YLR452C	SST2	Deletion allele	YMR025W	CSI1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159371	12399372	YGL075C	MPS2	Hypomorphic allele (TS, DAmP, etc)	YMR264W	CUE1	Deletion allele	
159372	12399372	YML031W	NDC1	Hypomorphic allele (TS, DAmP, etc)	YMR264W	CUE1	Deletion allele	
159374	10660055	YDR457W	TOM1	Hypomorphic allele (TS, DAmP, etc)	YJL005W	CYR1	Spontaneous mutation	
159382	9407029	YBL023C	MCM2	Hypomorphic allele (TS, DAmP, etc)	YDR052C	DBF4	Spontaneous mutation	
159384	10218484	YLR378C	SEC61	Hypomorphic allele (TS, DAmP, etc)	YOL013C	HRD1	Deletion allele	
159385	9437001	YLR378C	SEC61	Hypomorphic allele (TS, DAmP, etc)	YOL013C	HRD1	Deletion allele	
159386	11696541	YCR093W	CDC39	Specific mutation (activating mutant, phospho-mutant, etc)	YDL160C	DHH1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159387	11696541	YIL038C	NOT3	Deletion allele	YDL160C	DHH1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159391	12901865	YGR101W	PCP1	Deletion allele	YLL001W	DNM1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159393	11038180	YBR179C	FZO1	Deletion allele	YLL001W	DNM1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159394	11454748	YFR029W	PTR3	Deletion allele	YDR069C	DOA4	Spontaneous mutation	
159395	11454748	YDR160W	SSY1	Deletion allele	YDR069C	DOA4	Spontaneous mutation	
159400	12441642	YKL165C	MCD4	Hypomorphic allele (TS, DAmP, etc)	YDR294C	DPL1	Deletion allele	
159401	8070654	YNL188W	KAR1	Deletion allele	YMR276W	DSK2	Spontaneous mutation	
159402	8429886	YFL005W	SEC4	Hypomorphic allele (TS, DAmP, etc)	YPR017C	DSS4	Spontaneous mutation	
159404	13678589	YKL113C	RAD27	Deletion allele	YOR144C	ELG1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159406	8862519	YLR208W	SEC13	Deletion allele	YGL200C	EMP24	Spontaneous mutation	
159407	11694597	YIR006C	PAN1	Hypomorphic allele (TS, DAmP, etc)	YLR206W	ENT2	Deletion allele	
159418	12154123	YMR284W	YKU70	Deletion allele	YOR033C	EXO1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159419	11950935	YNL054W	VAC7	Deletion allele	YFR019W	FAB1	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
159420	11486011	YDR477W	SNF1	Deletion allele	YKL182W	FAS1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159422	12477802	YFL039C	ACT1	Hypomorphic allele (TS, DAmP, etc)	YCR034W	FEN1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159423	12477802	YCR009C	RVS161	Deletion allele	YCR034W	FEN1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159424	7785326	YLR223C	IFH1	Deletion allele	YPR104C	FHL1	Deletion allele	
159426	11950935	YNL054W	VAC7	Deletion allele	YNL325C	FIG4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159427	11038183	YBR179C	FZO1	Deletion allele	YIL065C	FIS1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159428	11038183	YBR179C	FZO1	Hypomorphic allele (TS, DAmP, etc)	YJL112W	MDV1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159431	12719473	YNL006W	LST8	Hypomorphic allele (TS, DAmP, etc)	YLR342W	FKS1	Deletion allele	
159432	9545237	YKL203C	TOR2	Hypomorphic allele (TS, DAmP, etc)	YLR342W	FKS1	Deletion allele	
159435	12954629	YMR058W	FET3	Deletion allele	YLR214W	FRE1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159436	12954629	YMR021C	MAC1	Specific mutation (activating mutant, phospho-mutant, etc)	YLR214W	FRE1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159438	10980204	YOL067C	RTG1	Deletion allele	YBR179C	FZO1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159439	10980204	YGL252C	RTG2	Deletion allele	YBR179C	FZO1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159446	9545237	YKL203C	TOR2	Hypomorphic allele (TS, DAmP, etc)	YMR307W	GAS1	Deletion allele	
159447	8336705	YKR026C	GCN3	Specific mutation (activating mutant, phospho-mutant, etc)	YGR083C	GCD2	Hypomorphic allele (TS, DAmP, etc)	
159449	8164676	YDR283C	GCN2	Specific mutation (activating mutant, phospho-mutant, etc)	YGR083C	GCD2	Spontaneous mutation	
159450	8164676	YDR283C	GCN2	Specific mutation (activating mutant, phospho-mutant, etc)	YLR291C	GCD7	Specific mutation (activating mutant, phospho-mutant, etc)	
159451	3319768	YOR260W	GCD1	Hypomorphic allele (TS, DAmP, etc)	YKR026C	GCN3	Specific mutation (activating mutant, phospho-mutant, etc)	
159452	3319768	YGR083C	GCD2	Hypomorphic allele (TS, DAmP, etc)	YKR026C	GCN3	Specific mutation (activating mutant, phospho-mutant, etc)	
159453	9335588	YNL199C	GCR2	Deletion allele	YPL075W	GCR1	Overexpression of a mutant allele	
159455	8846890	YDR138W	HPR1	Deletion allele	YMR125W	STO1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159466	8007975	YPL209C	IPL1	Hypomorphic allele (TS, DAmP, etc)	YER133W	GLC7	Hypomorphic allele (TS, DAmP, etc)	
159467	1333044	YDR283C	GCN2	Specific mutation (activating mutant, phospho-mutant, etc)	YER133W	GLC7	Overexpression of a mutant allele	Conditional Suppression (excl. high temp for TS alleles)
159470	7565759	YPL209C	IPL1	Hypomorphic allele (TS, DAmP, etc)	YMR311C	GLC8	Deletion allele	
159476	7962097	YER155C	BEM2	Hypomorphic allele (TS, DAmP, etc)	YJR090C	GRR1	Deletion allele	
159478	10388807	YGL097W	SRM1	Hypomorphic allele (TS, DAmP, etc)	YML121W	GTR1	Overexpression of a mutant allele	
159479	8886981	YGL097W	SRM1	Hypomorphic allele (TS, DAmP, etc)	YML121W	GTR1	Hypomorphic allele (TS, DAmP, etc)	
159480	10388807	YMR235C	RNA1	Hypomorphic allele (TS, DAmP, etc)	YML121W	GTR1	Overexpression of a mutant allele	
159481	8886981	YMR235C	RNA1	Hypomorphic allele (TS, DAmP, etc)	YML121W	GTR1	Hypomorphic allele (TS, DAmP, etc)	
159482	11359917	YML077W	BET5	Hypomorphic allele (TS, DAmP, etc)	YOR070C	GYP1	Deletion allele	
159483	12807768	YJL204C	RCY1	Deletion allele	YGR100W	MDR1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159493	9448002	YGR252W	GCN5	Deletion allele	YBR010W	HHT1	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
159503	12007647	YLR113W	HOG1	Deletion allele	YGR040W	KSS1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159506	8808622	YDL235C	YPD1	Deletion allele	YLR113W	HOG1	Deletion allele	
159507	9323359	YER086W	ILV1	Deletion allele	YER052C	HOM3	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159509	8770588	YDR432W	NPL3	Hypomorphic allele (TS, DAmP, etc)	YOL123W	HRP1	Specific mutation (activating mutant, phospho-mutant, etc)	
159510	9920934	YNR026C	SEC12	Hypomorphic allele (TS, DAmP, etc)	YPL204W	HRR25	Overexpression of a mutant allele	
159516	10982839	YNL137C	NAM9	Specific mutation (activating mutant, phospho-mutant, etc)	YLL026W	HSP104	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159518	10490641	YBR136W	MEC1	Deletion allele	YML058W-A	HUG1	Deletion allele	
159529	9258670	YDL102W	POL3	Hypomorphic allele (TS, DAmP, etc)	YJR006W	POL31	Spontaneous mutation	
159531	12524335	YPR024W	YME1	Deletion allele	YDL181W	INH1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159533	12477802	YFL039C	ACT1	Hypomorphic allele (TS, DAmP, etc)	YDR072C	IPT1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159534	12477802	YCR009C	RVS161	Deletion allele	YDR072C	IPT1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159535	2540426	YLR310C	CDC25	Deletion allele	YBR140C	IRA1	Deletion allele	
159537	8246881	YOL081W	IRA2	Deletion allele	YOR101W	RAS1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159538	2164637	YLR310C	CDC25	Deletion allele	YOL081W	IRA2	Deletion allele	
159539	14622597	YGL043W	DST1	Deletion allele	YBR245C	ISW1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159540	14622597	YGR063C	SPT4	Deletion allele	YBR245C	ISW1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159541	11489850	YFL031W	HAC1	Deletion allele	YOR304W	ISW2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159543	11489850	YFL031W	HAC1	Deletion allele	YGL133W	ITC1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159544	9813017	YJR104C	SOD1	Deletion allele	YGL018C	JAC1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159545	12524331	YAR019C	CDC15	Hypomorphic allele (TS, DAmP, etc)	YBR017C	KAP104	Specific mutation (activating mutant, phospho-mutant, etc)	
159547	8305736	YOR254C	SEC63	Hypomorphic allele (TS, DAmP, etc)	YJL034W	KAR2	Overexpression of a mutant allele	
159553	8601473	YBL105C	PKC1	Hypomorphic allele (TS, DAmP, etc)	YDR017C	KCS1	Deletion allele	
159554	11916983	YNL267W	PIK1	Hypomorphic allele (TS, DAmP, etc)	YPL145C	KES1	Deletion allele	
159555	11916983	YMR079W	SEC14	Hypomorphic allele (TS, DAmP, etc)	YPL145C	KES1	Deletion allele	
159560	10660055	YDR457W	TOM1	Hypomorphic allele (TS, DAmP, etc)	YPR159W	KRE6	Deletion allele	
159561	10545444	YJL128C	PBS2	Hypomorphic allele (TS, DAmP, etc)	YGR040W	KSS1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159562	11781309	YBR036C	CSG2	Deletion allele	YMR296C	LCB1	Overexpression of a mutant allele	Conditional Suppression (excl. high temp for TS alleles)
159563	11781309	YBR036C	CSG2	Deletion allele	YDR062W	LCB2	Overexpression of a mutant allele	Conditional Suppression (excl. high temp for TS alleles)
159566	11927560	YML010W	SPT5	Hypomorphic allele (TS, DAmP, etc)	YOR123C	LEO1	Deletion allele	
159567	11713681	YLR371W	ROM2	Deletion allele	YDL240W	LRG1	Deletion allele	
159568	11713681	YOR008C	SLG1	Deletion allele	YDL240W	LRG1	Deletion allele	
159569	11447600	YLR342W	FKS1	Hypomorphic allele (TS, DAmP, etc)	YDL240W	LRG1	Deletion allele	
159586	11230131	YMR273C	ZDS1	Deletion allele	YNL307C	MCK1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159587	12738768	YBR202W	MCM7	Hypomorphic allele (TS, DAmP, etc)	YMR043W	MCM1	Specific mutation (activating mutant, phospho-mutant, etc)	
159588	10783164	YLR274W	MCM5	Hypomorphic allele (TS, DAmP, etc)	YIL150C	MCM10	Hypomorphic allele (TS, DAmP, etc)	
159589	10783164	YIL150C	MCM10	Hypomorphic allele (TS, DAmP, etc)	YLR274W	MCM5	Hypomorphic allele (TS, DAmP, etc)	
159592	12019222	YDL017W	CDC7	Hypomorphic allele (TS, DAmP, etc)	YLR274W	MCM5	Specific mutation (activating mutant, phospho-mutant, etc)	
159595	8474449	YDL017W	CDC7	Deletion allele	YLR274W	MCM5	Spontaneous mutation	
159601	11689452	YDL220C	CDC13	Hypomorphic allele (TS, DAmP, etc)	YBR136W	MEC1	Deletion allele	
159604	11689452	YDL220C	CDC13	Hypomorphic allele (TS, DAmP, etc)	YLR288C	MEC3	Deletion allele	
159605	9892641	YDR477W	SNF1	Deletion allele	YPR070W	MED1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159606	9671455	YER022W	SRB4	Hypomorphic allele (TS, DAmP, etc)	YHR058C	MED6	Spontaneous mutation	
159608	10975521	YIL046W	MET30	Deletion allele	YNL103W	MET4	Deletion allele	
159609	10747029	YIL046W	MET30	Deletion allele	YNL103W	MET4	Deletion allele	
159611	11953321	YDL102W	POL3	Hypomorphic allele (TS, DAmP, etc)	YNL218W	MGS1	Deletion allele	
159612	11281938	YDR477W	SNF1	Deletion allele	YGL035C	MIG1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159613	11281938	YOR290C	SNF2	Deletion allele	YGL035C	MIG1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159614	11281938	YNR023W	SNF12	Deletion allele	YGL035C	MIG1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159616	8056322	YDR477W	SNF1	Deletion allele	YGL035C	MIG1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159617	14993292	YDR477W	SNF1	Deletion allele	YER028C	MIG3	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159618	11687605	YGL252C	RTG2	Deletion allele	YNL076W	MKS1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159619	8386801	YJL005W	CYR1	Hypomorphic allele (TS, DAmP, etc)	YNL076W	MKS1	Deletion allele	
159623	12436259	YJR006W	POL31	Hypomorphic allele (TS, DAmP, etc)	YGL087C	MMS2	Deletion allele	
159624	10660055	YDR457W	TOM1	Hypomorphic allele (TS, DAmP, etc)	YPL082C	MOT1	Spontaneous mutation	
159626	11713271	YDR228C	PCF11	Hypomorphic allele (TS, DAmP, etc)	YKL059C	MPE1	Specific mutation (activating mutant, phospho-mutant, etc)	
159627	11713271	YGL044C	RNA15	Hypomorphic allele (TS, DAmP, etc)	YKL059C	MPE1	Specific mutation (activating mutant, phospho-mutant, etc)	
159640	1848523	YER153C	PET122	Specific mutation (activating mutant, phospho-mutant, etc)	YDR347W	MRP1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159641	1279374	YER153C	PET122	Specific mutation (activating mutant, phospho-mutant, etc)	YKL003C	MRP17	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
159642	9528754	Q0250	COX2	Specific mutation (activating mutant, phospho-mutant, etc)	YBL090W	MRP21	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
159643	9528754	Q0275	COX3	Hypomorphic allele (TS, DAmP, etc)	YBL090W	MRP21	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159644	9528754	Q0250	COX2	Specific mutation (activating mutant, phospho-mutant, etc)	YPL118W	MRP51	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159645	9528754	Q0275	COX3	Hypomorphic allele (TS, DAmP, etc)	YPL118W	MRP51	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159656	9649426	YPL203W	TPK2	Hypomorphic allele (TS, DAmP, etc)	YMR037C	MSN2	Deletion allele	
159658	9649426	YPL203W	TPK2	Hypomorphic allele (TS, DAmP, etc)	YKL062W	MSN4	Deletion allele	
159663	10373505	YDL194W	SNF3	Deletion allele	YDR277C	MTH1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159664	11901111	YLR337W		Deletion allele	YJL020C	BBC1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159665	11914130	YAR019C	CDC15	Deletion allele	YOR160W	MTR10	Spontaneous mutation	
159668	12456647	YGL106W	MLC1	Hypomorphic allele (TS, DAmP, etc)	YOR326W	MYO2	Specific mutation (activating mutant, phospho-mutant, etc)	
159670	9700160	YGL106W	MLC1	Deletion in a diploid cell (haplo-insufficient)	YOR326W	MYO2	Deletion in a diploid cell (haplo-insufficient)	
159675	9671455	YER022W	SRB4	Hypomorphic allele (TS, DAmP, etc)	YER159C	BUR6	Spontaneous mutation	
159676	9671455	YER022W	SRB4	Hypomorphic allele (TS, DAmP, etc)	YDR397C	NCB2	Spontaneous mutation	
159678	11914130	YAR019C	CDC15	Deletion allele	YJL076W	NET1	Spontaneous mutation	
159679	11914130	YMR001C	CDC5	Hypomorphic allele (TS, DAmP, etc)	YJL076W	NET1	Specific mutation (activating mutant, phospho-mutant, etc)	
159682	11914130	YIL106W	MOB1	Deletion allele	YJL076W	NET1	Specific mutation (activating mutant, phospho-mutant, etc)	
159683	11914130	YML064C	TEM1	Deletion allele	YJL076W	NET1	Specific mutation (activating mutant, phospho-mutant, etc)	
159686	9813017	YJR104C	SOD1	Deletion allele	YCL017C	NFS1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159687	14610088	YLR262C	YPT6	Deletion allele	YDR456W	NHX1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159689	9933353	YLR075W	RPL10	Hypomorphic allele (TS, DAmP, etc)	YHR170W	NMD3	Spontaneous mutation	
159690	9671455	YER022W	SRB4	Hypomorphic allele (TS, DAmP, etc)	YCR093W	CDC39	Spontaneous mutation	
159692	9671455	YER022W	SRB4	Hypomorphic allele (TS, DAmP, etc)	YIL038C	NOT3	Spontaneous mutation	
159696	9671455	YER022W	SRB4	Hypomorphic allele (TS, DAmP, etc)	YPR072W	NOT5	Spontaneous mutation	
159699	12509465	YHL027W	RIM101	Deletion allele	YDR043C	NRG1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159701	11281938	YDR477W	SNF1	Deletion allele	YDR043C	NRG1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159702	11281938	YOR290C	SNF2	Deletion allele	YDR043C	NRG1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159703	11281938	YNR023W	SNF12	Deletion allele	YDR043C	NRG1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159712	10224244	YER148W	SPT15	Specific mutation (activating mutant, phospho-mutant, etc)	YHL020C	OPI1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159713	11238399	YMR079W	SEC14	Hypomorphic allele (TS, DAmP, etc)	YPL145C	KES1	Deletion allele	
159715	11927560	YML010W	SPT5	Hypomorphic allele (TS, DAmP, etc)	YBR279W	PAF1	Deletion allele	
159717	11922108	YJL062W	LAS21	Deletion allele	YJL128C	PBS2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159718	10762242	YBL105C	PKC1	Hypomorphic allele (TS, DAmP, etc)	YJL128C	PBS2	Deletion allele	
159719	8808622	YDL235C	YPD1	Deletion allele	YJL128C	PBS2	Deletion allele	
159720	1479360	YNL098C	RAS2	Deletion allele	YJL128C	PBS2	Deletion allele	
