BioGRID ID	PubMed ID	Query ORF	Query gene	Query allele	Suppressor ORF	Suppressor gene	Suppressor allele	Note
344088	19023403	YKL052C	ASK1	Hypomorphic allele (TS, DAmP, etc)	YEL061C	CIN8	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
344096	19223769	YMR028W	TAP42	Hypomorphic allele (TS, DAmP, etc)	YPR040W	TIP41	Deletion allele	
344119	19362086	YOR074C	CDC21	Hypomorphic allele (TS, DAmP, etc)	YML021C	UNG1	Deletion allele	
344128	19419963	YFL039C	ACT1	Specific mutation (activating mutant, phospho-mutant, etc)	YMR092C	AIP1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
344241	19749176	YJL098W	SAP185	Deletion allele	YKR028W	SAP190	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
344242	19749176	YFR040W	SAP155	Deletion allele	YGL229C	SAP4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
344243	19749176	YGL229C	SAP4	Deletion allele	YKR028W	SAP190	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
344244	19749176	YFR040W	SAP155	Deletion allele	YJL098W	SAP185	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
344614	19332891	YJR089W	BIR1	Deletion allele	YPL123C	RNY1	Deletion allele	
345737	19401462	YCL004W	PGS1	Deletion allele	YPR026W	ATH1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345738	19401462	YCL004W	PGS1	Deletion allele	YOR178C	GAC1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345739	19401462	YCL004W	PGS1	Deletion allele	YER062C	GPP2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345740	19401462	YCL004W	PGS1	Deletion allele	YFL014W	HSP12	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345741	19401462	YCL004W	PGS1	Deletion allele	YBR107C	IML3	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345742	19401462	YCL004W	PGS1	Deletion allele	YDL079C	MRK1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345743	19401462	YCL004W	PGS1	Deletion allele	YMR037C	MSN2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345744	19401462	YCL004W	PGS1	Deletion allele	YJL128C	PBS2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345745	19401462	YCL004W	PGS1	Deletion allele	YGR086C	PIL1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345746	19401462	YCL004W	PGS1	Deletion allele	YLL010C	PSR1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345747	19401462	YCL004W	PGS1	Deletion allele	YLR371W	ROM2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345748	19401462	YCL004W	PGS1	Deletion allele	YER118C	SHO1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345749	19401462	YCL004W	PGS1	Deletion allele	YHR206W	SKN7	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345750	19401462	YCL004W	PGS1	Deletion allele	YLL024C	SSA2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345751	19401462	YCL004W	PGS1	Deletion allele	YNR031C	SSK2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345752	19401462	YCL004W	PGS1	Deletion allele	YCR073C	SSK22	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345753	19401462	YCL004W	PGS1	Deletion allele	YCL032W	STE50	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345754	19401462	YCL004W	PGS1	Deletion allele	YOL105C	WSC3	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345755	19401462	YCL004W	PGS1	Deletion allele	YHL028W	WSC4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345756	19401462	YCL004W	PGS1	Deletion allele	YML007W	YAP1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345758	19158081	YER019W	ISC1	Deletion allele	YJL187C	SWE1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345863	19841065	YPL189C-A	COA2	Deletion allele	YPL172C	COX10	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
345868	19841065	YPL189C-A	COA2	Deletion allele	YKR087C	OMA1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345869	19841065	YPL189C-A	COA2	Deletion allele	YPR024W	YME1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
345870	19841065	YPL189C-A	COA2	Deletion allele	YMR089C	YTA12	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
345886	19748353	YML121W	GTR1	Deletion allele	YJR066W	TOR1	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
345895	19748353	YDL077C	VAM6	Deletion allele	YJR066W	TOR1	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
346007	19075114	YGR198W	YPP1	Deletion allele	YKL212W	SAC1	Deletion allele	
346008	19075114	YLR305C	STT4	Deletion allele	YKL212W	SAC1	Deletion allele	
346200	19451230	YDR243C	PRP28	Deletion allele	YNL187W	SWT21	Deletion allele	
346201	19451230	YDR243C	PRP28	Deletion allele	YMR125W	STO1	Deletion allele	
346417	19328069	YFR027W	ECO1	Deletion allele	YJL074C	SMC3	Spontaneous mutation	
346418	19328069	YFR027W	ECO1	Deletion allele	YIL026C	IRR1	Spontaneous mutation	
346419	19328069	YFR027W	ECO1	Deletion allele	YMR076C	PDS5	Spontaneous mutation	
346420	19328069	YFR027W	ECO1	Deletion allele	YDR014W	RAD61	Deletion allele	
348366	19745812	YGL207W	SPT16	Hypomorphic allele (TS, DAmP, etc)	YOR083W	WHI5	Deletion allele	
348368	19745812	YBR160W	CDC28	Hypomorphic allele (TS, DAmP, etc)	YOR083W	WHI5	Deletion allele	
348586	19424415	YJR066W	TOR1	Deletion allele	YHR205W	SCH9	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
348643	19217430	YNL079C	TPM1	Deletion allele	YAR014C	BUD14	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
349041	19679657	YER159C	BUR6	Hypomorphic allele (TS, DAmP, etc)	YPR168W	NUT2	Spontaneous mutation	
349042	19679657	YER159C	BUR6	Hypomorphic allele (TS, DAmP, etc)	YOL135C	MED7	Spontaneous mutation	
349043	19679657	YER159C	BUR6	Hypomorphic allele (TS, DAmP, etc)	YHR041C	SRB2	Spontaneous mutation	
349044	19679657	YER159C	BUR6	Hypomorphic allele (TS, DAmP, etc)	YDR311W	TFB1	Spontaneous mutation	
349045	19679657	YER159C	BUR6	Hypomorphic allele (TS, DAmP, etc)	YDR404C	RPB7	Spontaneous mutation	
349046	19679657	YER159C	BUR6	Deletion allele	YDL115C	IWR1	Deletion allele	
349047	19679657	YDR397C	NCB2	Hypomorphic allele (TS, DAmP, etc)	YPR168W	NUT2	Spontaneous mutation	
349048	19679657	YDR397C	NCB2	Hypomorphic allele (TS, DAmP, etc)	YOL135C	MED7	Spontaneous mutation	
349049	19679657	YDR397C	NCB2	Hypomorphic allele (TS, DAmP, etc)	YHR041C	SRB2	Spontaneous mutation	
349050	19679657	YDR397C	NCB2	Hypomorphic allele (TS, DAmP, etc)	YDR311W	TFB1	Spontaneous mutation	
349051	19679657	YDR397C	NCB2	Hypomorphic allele (TS, DAmP, etc)	YDR404C	RPB7	Spontaneous mutation	
349052	19679657	YDR397C	NCB2	Hypomorphic allele (TS, DAmP, etc)	YDL115C	IWR1	Deletion allele	
349175	15641941	YDL167C	NRP1	Deletion allele	YBR003W	COQ1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
349176	15641941	YJR104C	SOD1	Deletion allele	YBR003W	COQ1	Deletion allele	
349651	19752213	YLR010C	TEN1	Hypomorphic allele (TS, DAmP, etc)	YOR033C	EXO1	Deletion allele	
349757	19153600	YLR113W	HOG1	Deletion allele	YML127W	RSC9	Hypomorphic allele (TS, DAmP, etc)	Conditional Suppression (excl. high temp for TS alleles)
349827	19286982	YCR009C	RVS161	Deletion allele	YLR372W	SUR4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
349851	19571182	YGL075C	MPS2	Deletion allele	YLR018C	POM34	Deletion allele	
349852	19571182	YGL075C	MPS2	Deletion allele	YMR129W	POM152	Deletion allele	
349853	19571182	YML031W	NDC1	Hypomorphic allele (TS, DAmP, etc)	YLR018C	POM34	Deletion allele	
349854	19571182	YPL255W	BBP1	Hypomorphic allele (TS, DAmP, etc)	YLR018C	POM34	Deletion allele	
349926	19850912	YDR364C	CDC40	Deletion allele	YMR080C	NAM7	Deletion allele	
349927	19850912	YER013W	PRP22	Hypomorphic allele (TS, DAmP, etc)	YMR080C	NAM7	Deletion allele	
350170	19034519	YPL169C	MEX67	Hypomorphic allele (TS, DAmP, etc)	YDR143C	SAN1	Deletion allele	
350171	19034519	YPL169C	MEX67	Hypomorphic allele (TS, DAmP, etc)	YGR270W	YTA7	Deletion allele	
350172	19034519	YPL169C	MEX67	Hypomorphic allele (TS, DAmP, etc)	YDR121W	DPB4	Deletion allele	
350173	19034519	YPL169C	MEX67	Hypomorphic allele (TS, DAmP, etc)	YGL094C	PAN2	Deletion allele	
350174	19034519	YPL169C	MEX67	Hypomorphic allele (TS, DAmP, etc)	YKL025C	PAN3	Deletion allele	
350274	17981065	YBR019C	GAL10	Deletion allele	YBR018C	GAL7	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
351348	19221197	YLR193C	UPS1	Deletion allele	YLR168C	UPS2	Deletion allele	
351368	19268589	YFR027W	ECO1	Deletion allele	YDR014W	RAD61	Deletion allele	
351369	19268589	YFR027W	ECO1	Deletion allele	YMR076C	PDS5	Spontaneous mutation	
351567	19478884	YMR001C	CDC5	Hypomorphic allele (TS, DAmP, etc)	YMR055C	BUB2	Deletion allele	
351797	19581443	YGR075C	PRP38	Hypomorphic allele (TS, DAmP, etc)	YLR424W	SPP382	Specific mutation (activating mutant, phospho-mutant, etc)	
351833	19797079	YNL163C	RIA1	Deletion allele	YPR016C	TIF6	Overexpression of a mutant allele	
351834	19797079	YLR022C	SDO1	Deletion allele	YPR016C	TIF6	Overexpression of a mutant allele	
351835	19797079	YIR026C	YVH1	Deletion allele	YKL009W	MRT4	Spontaneous mutation	
351933	19608606	YLR113W	HOG1	Deletion allele	YLL043W	FPS1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
351936	19416103	YHL010C	ETP1	Deletion allele	YLR138W	NHA1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
351943	19440046	YDL029W	ARP2	Hypomorphic allele (TS, DAmP, etc)	YNL197C	WHI3	Deletion allele	
352007	19797078	YIR026C	YVH1	Deletion allele	YKL009W	MRT4	Specific mutation (activating mutant, phospho-mutant, etc)	
352054	19506038	YLR193C	UPS1	Deletion allele	YLR168C	UPS2	Deletion allele	
352509	19805819	YPL153C	RAD53	Specific mutation (activating mutant, phospho-mutant, etc)	YPL209C	IPL1	Hypomorphic allele (TS, DAmP, etc)	Conditional Suppression (excl. high temp for TS alleles)
352629	19875981	YDL220C	CDC13	Hypomorphic allele (TS, DAmP, etc)	YMR127C	SAS2	Deletion allele	
352630	19893492	YOR119C	RIO1	Specific mutation (activating mutant, phospho-mutant, etc)	YNL001W	DOM34	Deletion allele	
352631	19893492	YOR119C	RIO1	Specific mutation (activating mutant, phospho-mutant, etc)	YKR084C	HBS1	Deletion allele	
352691	19917723	YIL150C	MCM10	Hypomorphic allele (TS, DAmP, etc)	YBL023C	MCM2	Specific mutation (activating mutant, phospho-mutant, etc)	
352705	19955214	YLR229C	CDC42	Hypomorphic allele (TS, DAmP, etc)	YJL085W	EXO70	Overexpression of a mutant allele	
352706	19955214	YIL118W	RHO3	Deletion allele	YJL085W	EXO70	Overexpression of a mutant allele	
352868	19929865	YOL012C	HTZ1	Deletion allele	YKR048C	NAP1	Deletion allele	
352923	18838542	YBR136W	MEC1	Deletion allele	YLR437C	DIF1	Deletion allele	
352990	19403696	YAL026C	DRS2	Deletion allele	YPL145C	KES1	Deletion allele	
353133	19184026	YDL102W	POL3	Hypomorphic allele (TS, DAmP, etc)	YDR174W	HMO1	Deletion allele	
353140	19262753	YFR027W	ECO1	Hypomorphic allele (TS, DAmP, etc)	YOR144C	ELG1	Deletion allele	
353233	19805817	YJR066W	TOR1	Deletion allele	YEL009C	GCN4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
353239	19851444	YML028W	TSA1	Deletion allele	YML058W	SML1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
353240	19851444	YML028W	TSA1	Deletion allele	YLR176C	RFX1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
353248	19901073	YBR136W	MEC1	Deletion allele	YML058W	SML1	Deletion allele	
353285	19774547	YNL229C	URE2	Deletion allele	YER040W	GLN3	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
353597	19737516	YNL088W	TOP2	Hypomorphic allele (TS, DAmP, etc)	YDR174W	HMO1	Deletion allele	
353636	19398558	YOR057W	SGT1	Specific mutation (activating mutant, phospho-mutant, etc)	YIL035C	CKA1	Deletion allele	
353709	19948500	YFL031W	HAC1	Deletion allele	YHL020C	OPI1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
353754	19995966	YLR383W	SMC6	Specific mutation (activating mutant, phospho-mutant, etc)	YIR002C	MPH1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
353755	19995966	YLR383W	SMC6	Specific mutation (activating mutant, phospho-mutant, etc)	YER095W	RAD51	Deletion allele	
353758	19995966	YEL019C	MMS21	Specific mutation (activating mutant, phospho-mutant, etc)	YIR002C	MPH1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
353882	17190603	YFR010W	UBP6	Deletion allele	YDR059C	UBC5	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
354366	15574876	YMR218C	TRS130	Hypomorphic allele (TS, DAmP, etc)	YGR100W	MDR1	Deletion allele	
422904	12525494	YER081W	SER3	Deletion allele	YIL074C	SER33	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
425330	11003661	YDR040C	ENA1	Deletion allele	YLR430W	SEN1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
425332	11741537	YFR040W	SAP155	Deletion allele	YPR040W	TIP41	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
425437	17942599	YHR023W	MYO1	Deletion allele	YLR102C	APC9	Deletion allele	
425759	20053728	YBR019C	GAL10	Specific mutation (activating mutant, phospho-mutant, etc)	YBR034C	HMT1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
425760	20053728	YBR019C	GAL10	Specific mutation (activating mutant, phospho-mutant, etc)	YDR432W	NPL3	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
425807	20028335	YDR195W	REF2	Deletion allele	YKL190W	CNB1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
426074	3294103	YGL048C	RPT6	Hypomorphic allele (TS, DAmP, etc)	YGL011C	SCL1	Spontaneous mutation	
426522	15082791	YPR086W	SUA7	Hypomorphic allele (TS, DAmP, etc)	YOR151C	RPB2	Spontaneous mutation	
426538	12586693	YMR001C	CDC5	Hypomorphic allele (TS, DAmP, etc)	YFR028C	CDC14	Specific mutation (activating mutant, phospho-mutant, etc)	
426620	10101169	YHR164C	DNA2	Hypomorphic allele (TS, DAmP, etc)	YDR217C	RAD9	Deletion allele	
426675	12397185	YMR224C	MRE11	Deletion allele	YOL006C	TOP1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
426686	1990281	YOR341W	RPA190	Hypomorphic allele (TS, DAmP, etc)	YPR010C	RPA135	Specific mutation (activating mutant, phospho-mutant, etc)	
426775	10207058	YPL268W	PLC1	Deletion allele	YNL025C	SSN8	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
426967	15632076	YGR113W	DAM1	Hypomorphic allele (TS, DAmP, etc)	YNL098C	RAS2	Deletion allele	
426969	10713161	YPL020C	ULP1	Hypomorphic allele (TS, DAmP, etc)	YIL031W	ULP2	Deletion allele	
426970	10713161	YIL031W	ULP2	Deletion allele	YPL020C	ULP1	Hypomorphic allele (TS, DAmP, etc)	
427282	9755193	YER154W	OXA1	Deletion allele	YOR065W	CYT1	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
427284	7713414	YNL199C	GCR2	Specific mutation (activating mutant, phospho-mutant, etc)	YPL075W	GCR1	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
427495	12719473	YNL006W	LST8	Hypomorphic allele (TS, DAmP, etc)	YER040W	GLN3	Deletion allele	
427502	17603098	YMR119W	ASI1	Deletion allele	YIR023W	DAL81	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
427661	11432837	YML069W	POB3	Hypomorphic allele (TS, DAmP, etc)	YNL330C	RPD3	Deletion allele	
427681	2179050	YDR087C	RRP1	Hypomorphic allele (TS, DAmP, etc)	YCR018C	SRD1	Spontaneous mutation	
427696	20176017	YJR104C	SOD1	Deletion allele	YBR023C	CHS3	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
