Long Short
Ino2p/Ino4p_basic_helix-loop-helix_heteromeric_complex Ino2p/Ino4p
Ino80p_complex Ino80p
Isocitrate_dehydrogenase Isocitrate_dehydrogenase
ISW1a_complex ISW1a
ISW1b_complex ISW1b
karyopherin_docking_subcomplex_of_the_Nuclear_Pore_Complex_(NPC) karyopherin_docking_NPC
Kel1p/Kel2p_complex Kel1p/Kel2p
Kel1p/Kel2p/Lte1p_complex Kel1p/Kel2p/Lte1p
Kornberg's_mediator_(SRB)_complex Kornberg's_mediator
Ku_complex Ku
Lge1p/Bre1p_complex Lge1p/Bre1p
LMA1_complex LMA1
luminal_surveillance_complex luminal_surveillance
m-AAA_complex m-AAA
Mad1p/Mad2p_complex Mad1p/Mad2p
MBF_complex MBF
Mcm2-7_complex Mcm2-7
Mdm12p/Mmm1p/Mdm10p_complex Mdm12p/Mmm1p/Mdm10p
Mei5p/Sae3p_complex Mei5p/Sae3p
meiotic_recombination_initiation_complex meiotic_recomb_init
Met4p/Met28p/Met31p_complex Met4p/Met28p/Met31p
Met4p/Met28p/Met32p_complex Met4p/Met28p/Met32p
methionyl_glutamyl_tRNA_synthetase_complex meth_glut_tRNA_synthetase
Mgm1p/Ugo1p/Fzo1p_complex Mgm1p/Ugo1p/Fzo1p
MIND_complex MIND
mitochondrial_ATPase_inhibitor_complex mitochondrial_ATPase_inhibitor
mitochondrial_inner_membrane_peptidase_complex mito_inner_membrane_peptidase
mitochondrial_inner_membrane_presequence_translocase_complex mito_inner_membrane_presequence_translocase
mitochondrial_inner_membrane_protein_insertion_complex mito_inner_membrane_protein_insertion
mitochondrial_intermembrane_space_protein_transporter_complex mito_intermembrane_space_protein_transporter
mitochondrial_outer_membrane_translocase_complex mito_outer_membrane_translocase
mitochondrial_oxoglutarate_dehydrogenase_complex mito_oxoglutarate_dehydrogenase
mitochondrial_processing_peptidase_complex mito_processing_peptidase
mitochondrial_pyruvate_dehydrogenase_complex mito_pyruvate_dehydrogenase
mitochondrial_ribosomal_large_subunit mito_RLS
mitochondrial_ribosomal_small_subunit mito_RSS
mitochondrial_sorting_and_assembly_machinery_complex mito_sorting_and_assembly_machinery
mitotic_checkpoint_complex mitotic_checkpoint
Mks1p/Rtg2p_complex Mks1p/Rtg2p
Mlh1p/Mlh2p_complex Mlh1p/Mlh2p
Mlh1p/Mlh3p_complex Mlh1p/Mlh3p
Mlh1p/Pms1p_complex Mlh1p/Pms1p
Mob1p/Dbf2p_complex Mob1p/Dbf2p
Mob2p/Cbk1p_complex Mob2p/Cbk1p
Mon1p/Ccz1p_complex Mon1p/Ccz1p
monopolin_complex monopolin
Mot1p_complex Mot1p
Mps2p/Bbp1p_complex Mps2p/Bbp1p
mRNA_cleavage_and_polyadenylation_specificity_factor_complex mRNA_cleavage_polyA_specificity
mRNA_cleavage_factor_complex_(CFI) mRNA_cleavage_factor_(CFI)
mRNA_guanylyl_transferase_(capping_complex) mRNA_guanylyl_transferase
MRX_complex MRX
MSH2p/MSH3p_complex MSH2p/MSH3p
MSH2p/MSH6p_complex MSH2p/MSH6p
Mst27p/Mst28p_complex Mst27p/Mst28p
Mtk1p/Pbp1p_complex Mtk1p/Pbp1p
Mto1p/Mss1p_complex Mto1p/Mss1p
Mtr2p/Mex67p_complex Mtr2p/Mex67p
multi-eIF_complex multi-eIF
nascent_polypeptide-associated_complex nascent_polypeptide-associated
NatA_complex NatA
NatB_complex NatB
NatC_complex NatC
NC2_complex NC2
Ndc80p_complex Ndc80p
Nem1p/Spo7p_complex Nem1p/Spo7p
Nfs1p/Isd11p_complex Nfs1p/Isd11p
Noc1p/Noc2p_complex Noc1p/Noc2p
Noc2p/Noc3p_complex Noc2p/Noc3p
Noc4p/Nop14p_complex Noc4p/Nop14p
Nonsense-mediated_mRNA_decay_pathway_complex Nonsense-mediated_mRNA_decay_pathway
Npa2p-containing_subcomplex Npa2p-containing_subcomplex
Nsp1p_complex Nsp1p
Nsp1p/Nup82p_complex Nsp1p/Nup82p
Ntr1p/Ntr2p/Prp43p_complex Ntr1p/Ntr2p/Prp43p
NuA3_histone_acetyltransferase_complex NuA3_histone_acetyltransferase
NuA4_histone_acetyltransferase_complex NuA4_histone_acetyltransferase
nuclear_cohesin_complex nuclear_cohesin
nuclear_condensin_complex nuclear_condensin
Nuclear_exosome_complex Nuclear_exosome
nuclear_ubiquitin_ligase_complex nuclear_ubiquitin_ligase
nucleolar_ribonuclease_P_complex nucleolar_ribonuclease_P
Nucleosomal_protein_complex Nucleosomal_protein
nucleotide-excision_repair_factor_1_complex nt-excision_repair_1
nucleotide-excision_repair_factor_2_complex nt-excision_repair_2
nucleotide-excision_repair_factor_3_complex nt-excision_repair_3
nucleotide-excision_repair_factor_4_complex nt-excision_repair_4
Nup82_nuclear_pore_subcomplex Nup82_NPC_subcomplex
Nup84p_complex Nup84p
OAF_complex OAF
OCA_complex OCA
oligosaccharyl_transferase_complex oligosaccharyl_transferase
Origin_recognition_complex Origin_recognition
other_DNA_repair_complexes other_DNA_repair
palmitoyltransferase_complex palmitoyltransferase
PAM_complex PAM
PAN_complex PAN
Permease-Oxidase_Complex Permease-Oxidase
peroxin_docking_complex peroxin_docking
Phenylalaninine-tRNA-ligase Phenylalaninine-tRNA-ligase
Pho85p/Pcl10p_complex Pho85p/Pcl10p
Pho85p/Pcl1p_complex Pho85p/Pcl1p
Pho85p/Pcl2p_complex Pho85p/Pcl2p
Pho85p/Pcl8p_complex Pho85p/Pcl8p
Pho85p/Pho80p_complex Pho85p/Pho80p
phosphatidylinositol_(PtdIns)_3-kinase_complex_(functions_in_autophagy) PtdIns_3-kinase_autophagy
phosphatidylinositol_(PtdIns)_3-kinase_complex_(functions_in_CPY_sorting) PtdIns_3-kinase_CPY_sorting
Png1p/Rad23p_complex Png1p/Rad23p
polarisome_complex polarisome
Polzeta-Rev1p_complex Polzeta-Rev1p
prefoldin_complex prefoldin
prohibitin_complex prohibitin
protein_farnesyltransferase_complex protein_farnesyltransferase
protein_kinase_CK2_complex protein_kinase_CK2
Protein_O-mannosyltransferase(Pmt1p/Pmt2p) Pmt1p/Pmt2p
Protein_O-mannosyltransferase(Pmt3p/Pmt5p) Pmt3p/Pmt5p
protein_phosphatase_type_2A_complex_(Cdc55p) protein_phosphatase_type_2A_(Cdc55p)
protein_phosphatase_type_2A_complex_(Rts1p) protein_phosphatase_type_2A_(Rts1p)
Prp19-associated_complex Prp19-associated
Prp9p/Prp11p/Prp21p_complex(SF3a_complex) Prp9p/Prp11p/Prp21p_complex(SF3a)
Psr1p/Whi2p_complex Psr1p/Whi2p
Pxa1p/Pxa2p_complex Pxa1p/Pxa2p
Q-biosynthetic_Coq_polypeptide_complex Q-biosynthetic_Coq_polypeptide
Rad17p/Ddc1p/Mec3p_complex Rad17p/Ddc1p/Mec3p
Rad53p/Asf1p_complex Rad53p/Asf1p
Rad6p/Rad18p_complex Rad6p/Rad18p
RAVE_complex RAVE
RecQ_helicase-Topo_III_complex RecQ_helicase-Topo_III
Reg1p/Glc7p_complex Reg1p/Glc7p
Reg2p/Glc7p_complex Reg2p/Glc7p
RENT_complex RENT
RES_complex RES
retromer_complex retromer
ribonuclease_H2_complex ribonuclease_H2
ribonuclease_MRP_complex ribonuclease_MRP
ribonucleoside-diphosphate_reductase_complex ribonucleoside-diphosphate_reductase
Ribosome-associated_complex_(RAC) RAC
RING_finger_peroxin_complex RING_finger_peroxin
Rix1p_complex Rix1p
RNA_Degradation_Complex RNA_Degradation
RNA_polymerase_I_transcription_factor_complex RNA_pol_I_transcription_factor
RNA_polymerase_I_upstream_activating_factor_complex RNA_pol_I_upstream_activating_factor
Rot2p/Gtb1p_complex Rot2p/Gtb1p
Rpd3L_complex Rpd3L
Rpd3S_complex Rpd3S
RSC_complex RSC
Rsp5p/Bul1_ubiquitin_ligase_complex Rsp5p/Bul1
Rsp5p/Bul2_ubiquitin_ligase_complex Rsp5p/Bul2
Rtg1p/Rtg3p_complex Rtg1p/Rtg3p
Rtt109p/Vps75p_complex Rtt109p/Vps75p
Rvs161p/Rvs167p_complex Rvs161p/Rvs167p
Sac3p/Thp1p_complex Sac3p/Thp1p
SAGA_complex SAGA_complex
Sap155p/Sit4p_complex Sap155p/Sit4p
Sap185p/Sit4p_complex Sap185p/Sit4p
Sap190p/Sit4p_complex Sap190p/Sit4p
SAS_Complex SAS
SBF_complex SBF
SCF-CDC4_complex SCF-CDC4
Sds22p/Glc7p_complex Sds22p/Glc7p
Sec61p_translocon_complex Sec61p_translocon
Sec62p/Sec63p_complex Sec62p/Sec63p
serine_C-palmitoyltransferase_complex serine_C-palmitoyltransferase
Set3p_complex Set3p
SF3b_complex SF3b
Sfb3p/Sec23p_complex Sfb3p/Sec23p
Sgv1p/Bur2p_complex Sgv1p/Bur2p
Shq1p/Naf1p_complex Shq1p/Naf1p
signalosome_complex signalosome
signal_peptidase_complex signal_peptidase
signal_recognition_particle_receptor_complex SRP_receptor
Signal_recognition_particle_(SRP) SRP
Ski_Complex Ski
Sko1p/Cyc8p/Tup1_repressor_complex Sko1p/Cyc8p/Tup1_repressor
Sli15p/Bir1p_complex Sli15p/Bir1p
SLIK_(SAGA-like)_complex SLIK_(SAGA-like)
Slx1p/Slx4p_complex Slx1p/Slx4p
Slx5p/Slx8p_complex Slx5p/Slx8p
smc5p-Smc6p_complex smc5p-Smc6p
SNARE_complex SNARE
Snf1p/Snf4p/Gal83p_complex Snf1p/Snf4p/Gal83p
Snf1p/Snf4p/Sip1p_complex Snf1p/Snf4p/Sip1p
Snf1p/Snf4p/Sip2p_complex Snf1p/Snf4p/Sip2p
Sno1p/Snz1p_complex Sno1p/Snz1p
Sod1p/Ccs1p_complex Sod1p/Ccs1p
SPB_components SPB
Sro1p/Sec4p/Sec9p_complex Sro1p/Sec4p/Sec9p
Ssh1p_translocon_complex Ssh1p_translocon
STE5-MAPK_complex STE5-MAPK
Succinate_dehydrogenase_complex_(complex_II) Succinate_dehydrogenase
Succinyl-CoA_ligase Succinyl-CoA_ligase
sulfite_reductase_complex_(NADPH) sulfite_reductase_(NADPH)
Sum1p/Rfm1p/Hst1p_complex Sum1p/Rfm1p/Hst1p
Sur1p/Csg2p_complex Sur1p/Csg2p
Swh1p/Nvj1p_complex Swh1p/Nvj1p
SWI/SNF_complex SWI/SNF
Swr1p_complex Swr1p
Synaptonemal_complex_(SC) Synaptonemal_complex_(SC)
Tap42p/Pph21p/Rrd2p_complex Tap42p/Pph21p/Rrd2p
Tap42p/Sit4p/Rrd1p_complex Tap42p/Sit4p/Rrd1p
Telomerase Telomerase
THO_complex THO
Tim8p/Tim13p_complex Tim8p/Tim13p
Tof1p/Mrc1p/Csm3p_complex Tof1p/Mrc1p/Csm3p
TORC_1_complex TORC_1
TORC_2_complex TORC_2
TRAMP_complex_(Air1p) TRAMP_complex_(Air1p)
TRAMP_complex_(Air2p) TRAMP_complex_(Air2p)
transcription_export_complex transcription_export
transcription_factor_TFIIA_complex TF_TFIIA
transcription_factor_TFIID_complex TF_TFIID
transcription_factor_TFIIE_complex TF_TFIIE
transcription_factor_TFIIF_complex TF_TFIIF
transcription_factor_TFIIH_complex TF_TFIIH
transcription_factor_TFIIIB_complex TF_TFIIIB
transcription_factor_TFIIIC_complex TF_TFIIIC
translation_release_factor_complex translation_release_factor
TRAPP_complex TRAPP
tRNA-intron_endonuclease_complex tRNA-intron_endonuclease
tRNA_Methyltransferase_Complex tRNA_Methyltransferase
Tubulins Tubulins
Tup1p/Ssn6p_complex Tup1p/Ssn6p
U1_snRNP_complex U1_snRNP
U2_snRNP_complex U2_snRNP
U4/U6_x_U5_tri-snRNP_complex U4/U6_x_U5_tri-snRNP
U5_snRNP_complex U5_snRNP
U6_snRNP_complex U6_snRNP
Uba2p/Aos1p_complex Uba2p/Aos1p
ubiquitin_conjugating_enzyme_complex ub_conjugating_enzyme
ubiquitin_ligase_ERAD-L_complex ub_ligase_ERAD-L
ubiquitin_ligase_ERAD-M_complex ub_ligase_ERAD-M
Ubp3p/Bre5p_complex Ubp3p/Bre5p
UDP-N-acetylglucosamine_transferase_complex UDP-N-acetylglucosamine_transferase
Ula1p/Uba3p_complex Ula1p/Uba3p
Ume6p/Ime1p_complex Ume6p/Ime1p
UTP_A_complex UTP_A
UTP_B_complex UTP_B
UTP_C_complex UTP_C
Vam3p/Vam7_vacuolar_tSNARE_complex Vam3p/Vam7_vacuolar_tSNARE
VTC_heterotetrameric_complex VTC_heterotetrameric
zeta_DNA_polymerase_complex zeta_DNA_pol
