ORF Complex
YBR128C phosphatidylinositol_(PtdIns)_3-kinase_complex_(functions_in_autophagy)
YBR097W phosphatidylinositol_(PtdIns)_3-kinase_complex_(functions_in_autophagy)
YPL120W phosphatidylinositol_(PtdIns)_3-kinase_complex_(functions_in_autophagy)
YLR240W phosphatidylinositol_(PtdIns)_3-kinase_complex_(functions_in_autophagy)
YER025W eIF2
YJR007W eIF2
YPL237W eIF2
YGR181W Tim8p/Tim13p_complex
YJR135W-A Tim8p/Tim13p_complex
YOR217W DNA_replication_factor_C_complex_(Rcf1p)
YJR068W DNA_replication_factor_C_complex_(Rcf1p)
YNL290W DNA_replication_factor_C_complex_(Rcf1p)
YOL094C DNA_replication_factor_C_complex_(Rcf1p)
YBR087W DNA_replication_factor_C_complex_(Rcf1p)
YIL125W mitochondrial_oxoglutarate_dehydrogenase_complex
YDR148C mitochondrial_oxoglutarate_dehydrogenase_complex
YFL018C mitochondrial_oxoglutarate_dehydrogenase_complex
YBR211C COMA_complex
YPL018W COMA_complex
YDR318W COMA_complex
YGR179C COMA_complex
YOL076W NatB_complex
YPR131C NatB_complex
YBR109C SPB_components
YNL225C SPB_components
YOR373W SPB_components
YDR356W SPB_components
YPL124W SPB_components
YKL042W SPB_components
YAL047C SPB_components
YML029W ubiquitin_ligase_ERAD-L_complex
YBR201W ubiquitin_ligase_ERAD-L_complex
YDR057W ubiquitin_ligase_ERAD-L_complex
YOL013C ubiquitin_ligase_ERAD-L_complex
YLR207W ubiquitin_ligase_ERAD-L_complex
YGR206W ESCRT_I_complex
YLR119W ESCRT_I_complex
YCL008C ESCRT_I_complex
YPL065W ESCRT_I_complex
YPL001W HAT-B_complex
YEL056W HAT-B_complex
YLL022C HAT-B_complex
YJL005W adenylyl_cyclase_complex
YNL138W adenylyl_cyclase_complex
YDR265W RING_finger_peroxin_complex
YMR026C RING_finger_peroxin_complex
YJL210W RING_finger_peroxin_complex
YMR108W acetolactate_synthase_complex
YCL009C acetolactate_synthase_complex
YGR132C prohibitin_complex
YGR231C prohibitin_complex
YHL002W Hse1p/Vps27p_complex
YNR006W Hse1p/Vps27p_complex
YGL190C protein_phosphatase_type_2A_complex_(Cdc55p)
YDL134C protein_phosphatase_type_2A_complex_(Cdc55p)
YAL016W protein_phosphatase_type_2A_complex_(Cdc55p)
YOL096C Q-biosynthetic_Coq_polypeptide_complex
YDR204W Q-biosynthetic_Coq_polypeptide_complex
YBR160W Cdc28p/Clb1p_complex
YGR108W Cdc28p/Clb1p_complex
YER172C U4/U6_x_U5_tri-snRNP_complex
YPR082C U4/U6_x_U5_tri-snRNP_complex
YBL026W U4/U6_x_U5_tri-snRNP_complex
YLR438C-A U4/U6_x_U5_tri-snRNP_complex
YER112W U4/U6_x_U5_tri-snRNP_complex
YER146W U4/U6_x_U5_tri-snRNP_complex
YDR378C U4/U6_x_U5_tri-snRNP_complex
YNL147W U4/U6_x_U5_tri-snRNP_complex
YJR022W U4/U6_x_U5_tri-snRNP_complex
YGR006W U4/U6_x_U5_tri-snRNP_complex
YDR473C U4/U6_x_U5_tri-snRNP_complex
YGR091W U4/U6_x_U5_tri-snRNP_complex
YGR075C U4/U6_x_U5_tri-snRNP_complex
YPR178W U4/U6_x_U5_tri-snRNP_complex
YBR055C U4/U6_x_U5_tri-snRNP_complex
YHR165C U4/U6_x_U5_tri-snRNP_complex
YER029C U4/U6_x_U5_tri-snRNP_complex
YGR074W U4/U6_x_U5_tri-snRNP_complex
YLR275W U4/U6_x_U5_tri-snRNP_complex
YLR147C U4/U6_x_U5_tri-snRNP_complex
YOR159C U4/U6_x_U5_tri-snRNP_complex
YFL017W-A U4/U6_x_U5_tri-snRNP_complex
YPR182W U4/U6_x_U5_tri-snRNP_complex
YKL173W U4/U6_x_U5_tri-snRNP_complex
YEL026W U4/U6_x_U5_tri-snRNP_complex
YDL098C U4/U6_x_U5_tri-snRNP_complex
YOR308C U4/U6_x_U5_tri-snRNP_complex
YBR152W U4/U6_x_U5_tri-snRNP_complex
YCL044C i-AAA_complex
YPR024W i-AAA_complex
YOL090W MSH2p/MSH3p_complex
YCR092C MSH2p/MSH3p_complex
YFR028C RENT_complex
YJL076W RENT_complex
YDL042C RENT_complex
YJL088W Car1p/Arg3p_complex
YPL111W Car1p/Arg3p_complex
YJL041W Nsp1p/Nup82p_complex
YJL061W Nsp1p/Nup82p_complex
YJL071W "Arg2p/Arg5,6p_complex"
YER069W "Arg2p/Arg5,6p_complex"
YGR063C DSIF_complex
YML010W DSIF_complex
YLR342W "1,3-beta-glucan_synthase_complex_(Fks1p/Rho1p)"
YPR165W "1,3-beta-glucan_synthase_complex_(Fks1p/Rho1p)"
YOR207C DNA-directed_RNA_polymerase_III_complex
YOR210W DNA-directed_RNA_polymerase_III_complex
YBR154C DNA-directed_RNA_polymerase_III_complex
YOR224C DNA-directed_RNA_polymerase_III_complex
YHR143W-A DNA-directed_RNA_polymerase_III_complex
YDR045C DNA-directed_RNA_polymerase_III_complex
YJL011C DNA-directed_RNA_polymerase_III_complex
YNL113W DNA-directed_RNA_polymerase_III_complex
YKL144C DNA-directed_RNA_polymerase_III_complex
YNL151C DNA-directed_RNA_polymerase_III_complex
YNR003C DNA-directed_RNA_polymerase_III_complex
YKR025W DNA-directed_RNA_polymerase_III_complex
YPR110C DNA-directed_RNA_polymerase_III_complex
YDL150W DNA-directed_RNA_polymerase_III_complex
YPR190C DNA-directed_RNA_polymerase_III_complex
YPR187W DNA-directed_RNA_polymerase_III_complex
YOR116C DNA-directed_RNA_polymerase_III_complex
YML069W FACT_complex
YGL207W FACT_complex
YNL085W Mtk1p/Pbp1p_complex
YGR178C Mtk1p/Pbp1p_complex
YGR240C 6-phosphofructokinase_complex
YMR205C 6-phosphofructokinase_complex
YMR078C DNA_replication_factor_C_complex_(Ctf18p/Ctf8p/dcc1p)
YHR191C DNA_replication_factor_C_complex_(Ctf18p/Ctf8p/dcc1p)
YCL016C DNA_replication_factor_C_complex_(Ctf18p/Ctf8p/dcc1p)
YJR068W DNA_replication_factor_C_complex_(Ctf18p/Ctf8p/dcc1p)
YNL290W DNA_replication_factor_C_complex_(Ctf18p/Ctf8p/dcc1p)
YOL094C DNA_replication_factor_C_complex_(Ctf18p/Ctf8p/dcc1p)
YBR087W DNA_replication_factor_C_complex_(Ctf18p/Ctf8p/dcc1p)
YER038C smc5p-Smc6p_complex
YEL019C smc5p-Smc6p_complex
YLR007W smc5p-Smc6p_complex
YDR288W smc5p-Smc6p_complex
YDL105W smc5p-Smc6p_complex
YML023C smc5p-Smc6p_complex
YOL034W smc5p-Smc6p_complex
YLR383W smc5p-Smc6p_complex
YER030W Chz1p/Htz1p/Htb1p_complex
YDR224C Chz1p/Htz1p/Htb1p_complex
YOL012C Chz1p/Htz1p/Htb1p_complex
YNL039W transcription_factor_TFIIIB_complex
YGR246C transcription_factor_TFIIIB_complex
YER148W transcription_factor_TFIIIB_complex
YNR038W Npa2p-containing_subcomplex
YOL144W Npa2p-containing_subcomplex
YLR221C Npa2p-containing_subcomplex
YKL014C Npa2p-containing_subcomplex
YJR041C Npa2p-containing_subcomplex
Q0105 "Cytochrome_bc1_complex_(Ubiquinol-cytochrome_c_reductase_complex,_complex_III)"
YBL045C "Cytochrome_bc1_complex_(Ubiquinol-cytochrome_c_reductase_complex,_complex_III)"
YOR065W "Cytochrome_bc1_complex_(Ubiquinol-cytochrome_c_reductase_complex,_complex_III)"
YHR001W-A "Cytochrome_bc1_complex_(Ubiquinol-cytochrome_c_reductase_complex,_complex_III)"
YPR191W "Cytochrome_bc1_complex_(Ubiquinol-cytochrome_c_reductase_complex,_complex_III)"
YFR033C "Cytochrome_bc1_complex_(Ubiquinol-cytochrome_c_reductase_complex,_complex_III)"
YDR529C "Cytochrome_bc1_complex_(Ubiquinol-cytochrome_c_reductase_complex,_complex_III)"
YJL166W "Cytochrome_bc1_complex_(Ubiquinol-cytochrome_c_reductase_complex,_complex_III)"
YGR183C "Cytochrome_bc1_complex_(Ubiquinol-cytochrome_c_reductase_complex,_complex_III)"
YEL024W "Cytochrome_bc1_complex_(Ubiquinol-cytochrome_c_reductase_complex,_complex_III)"
YFR040W Sap155p/Sit4p_complex
YDL047W Sap155p/Sit4p_complex
YNL062C Gcd10p/Gcd14p_complex
YJL125C Gcd10p/Gcd14p_complex
YHR098C Sfb3p/Sec23p_complex
YPR181C Sfb3p/Sec23p_complex
YFR030W sulfite_reductase_complex_(NADPH)
YJR137C sulfite_reductase_complex_(NADPH)
YBL016W STE5-MAPK_complex
YLR362W STE5-MAPK_complex
YDR103W STE5-MAPK_complex
YDL159W STE5-MAPK_complex
YMR058W Permease-Oxidase_Complex
YER145C Permease-Oxidase_Complex
YER017C m-AAA_complex
YMR089C m-AAA_complex
YKL139W carboxy-terminal_domain_protein_kinase_complex
YJL006C carboxy-terminal_domain_protein_kinase_complex
YML112W carboxy-terminal_domain_protein_kinase_complex
YBR160W Cdc28p/Clb6p_complex
YGR109C Cdc28p/Clb6p_complex
YPL050C "alpha-1,6-mannosyltransferase_complex(Van1p/Mnn9p)"
YML115C "alpha-1,6-mannosyltransferase_complex(Van1p/Mnn9p)"
YDL017W Cdc7p/Dbf4p_complex
YDR052C Cdc7p/Dbf4p_complex
YER070W ribonucleoside-diphosphate_reductase_complex
YJL026W ribonucleoside-diphosphate_reductase_complex
YGR180C ribonucleoside-diphosphate_reductase_complex
YGR163W EGO_complex
YKR007W EGO_complex
YBR077C EGO_complex
YHR172W gamma-tubulin_complex
YNL126W gamma-tubulin_complex
YLR212C gamma-tubulin_complex
YNL084C "actin_cytoskeleton-regulatory_complex,_Pan1p/Sla1p/End3p_complex"
YIR006C "actin_cytoskeleton-regulatory_complex,_Pan1p/Sla1p/End3p_complex"
YBL007C "actin_cytoskeleton-regulatory_complex,_Pan1p/Sla1p/End3p_complex"
YDR221W Rot2p/Gtb1p_complex
YBR229C Rot2p/Gtb1p_complex
YMR095C Sno1p/Snz1p_complex
YMR096W Sno1p/Snz1p_complex
YNL233W Bni4p/Glc7p_complex
YER133W Bni4p/Glc7p_complex
YMR192W Gyl1p/Gyp5p_complex
YPL249C Gyl1p/Gyp5p_complex
YGR134W CCR4-NOT_core_complex
YNL288W CCR4-NOT_core_complex
YAL021C CCR4-NOT_core_complex
YDL165W CCR4-NOT_core_complex
YCR093W CCR4-NOT_core_complex
YER068W CCR4-NOT_core_complex
YIL038C CCR4-NOT_core_complex
YPR072W CCR4-NOT_core_complex
YNR052C CCR4-NOT_core_complex
YOR106W Vam3p/Vam7_vacuolar_tSNARE_complex
YGL212W Vam3p/Vam7_vacuolar_tSNARE_complex
YLR088W GPI-anchor_transamidase_complex
YLR459W GPI-anchor_transamidase_complex
YHR188C GPI-anchor_transamidase_complex
YDR434W GPI-anchor_transamidase_complex
YDR331W GPI-anchor_transamidase_complex
YNL037C Isocitrate_dehydrogenase
YOR136W Isocitrate_dehydrogenase
YKL182W fatty_acid_synthase_complex
YPL231W fatty_acid_synthase_complex
YGL155W CAAX-protein_geranylgeranyltransferase_complex
YKL019W CAAX-protein_geranylgeranyltransferase_complex
YMR224C MRX_complex
YNL250W MRX_complex
YDR369C MRX_complex
YCR086W Csm1p/Lrs4p_complex
YDR439W Csm1p/Lrs4p_complex
YLL002W Rtt109p/Vps75p_complex
YNL246W Rtt109p/Vps75p_complex
Q0115 Bi3_ribonucleoprotein_complex
YIR021W Bi3_ribonucleoprotein_complex
YJL090C Dpb11p/Sld2p_complex
YKL108W Dpb11p/Sld2p_complex
YKL185W Rpd3L_complex
YPL181W Rpd3L_complex
YAL013W Rpd3L_complex
YNL097C Rpd3L_complex
YNL330C Rpd3L_complex
YBR095C Rpd3L_complex
YDL076C Rpd3L_complex
YMR263W Rpd3L_complex
YIL084C Rpd3L_complex
YOL004W Rpd3L_complex
YPL139C Rpd3L_complex
YDR207C Rpd3L_complex
YPL213W U2_snRNP_complex
YIR009W U2_snRNP_complex
YML049C U2_snRNP_complex
YMR288W U2_snRNP_complex
YIR005W U2_snRNP_complex
YOR319W U2_snRNP_complex
YDL030W U2_snRNP_complex
YDL043C U2_snRNP_complex
YJL203W U2_snRNP_complex
YMR240C U2_snRNP_complex
YNL286W U2_snRNP_complex
YER029C U2_snRNP_complex
YGR074W U2_snRNP_complex
YLR275W U2_snRNP_complex
YLR147C U2_snRNP_complex
YOR159C U2_snRNP_complex
YFL017W-A U2_snRNP_complex
YPR182W U2_snRNP_complex
Q0045 Cytochrome_c_oxidase_(complex_IV)
YLR038C Cytochrome_c_oxidase_(complex_IV)
YGL191W Cytochrome_c_oxidase_(complex_IV)
Q0250 Cytochrome_c_oxidase_(complex_IV)
Q0275 Cytochrome_c_oxidase_(complex_IV)
YGL187C Cytochrome_c_oxidase_(complex_IV)
YNL052W Cytochrome_c_oxidase_(complex_IV)
YHR051W Cytochrome_c_oxidase_(complex_IV)
YMR256C Cytochrome_c_oxidase_(complex_IV)
YLR395C Cytochrome_c_oxidase_(complex_IV)
YDL067C Cytochrome_c_oxidase_(complex_IV)
YJR005W AP-2_adaptor_complex
YBL037W AP-2_adaptor_complex
YOL062C AP-2_adaptor_complex
YJR058C AP-2_adaptor_complex
YLR418C Cdc73p/Paf1p_complex
YOL145C Cdc73p/Paf1p_complex
YDR138W Cdc73p/Paf1p_complex
YOR123C Cdc73p/Paf1p_complex
YBR279W Cdc73p/Paf1p_complex
YGL244W Cdc73p/Paf1p_complex
YAL021C Cdc73p/Paf1p_complex
YOL078W TORC_2_complex
YMR068W TORC_2_complex
YJL058C TORC_2_complex
YNL006W TORC_2_complex
YIL105C TORC_2_complex
YNL047C TORC_2_complex
YKL203C TORC_2_complex
YER093C TORC_2_complex
YDR019C glycine_cleavage_complex
YMR189W glycine_cleavage_complex
YAL044C glycine_cleavage_complex
YFL018C glycine_cleavage_complex
YPL075W GCR_complex
YNL199C GCR_complex
YIR010W MIND_complex
YAL034W-A MIND_complex
YJR112W MIND_complex
YPL233W MIND_complex
YAR007C DNA_replication_factor_A_complex
YNL312W DNA_replication_factor_A_complex
YJL173C DNA_replication_factor_A_complex
YOR232W PAM_complex
YJL104W PAM_complex
YKR065C PAM_complex
YLR008C PAM_complex
YJR045C PAM_complex
YIL022W PAM_complex
YKL052C DASH_complex
YDR016C DASH_complex
YKR083C DASH_complex
YBR233W-A DASH_complex
YDR320C-A DASH_complex
YGR113W DASH_complex
YGL061C DASH_complex
YKL138C-A DASH_complex
YDR201W DASH_complex
YKR037C DASH_complex
YDR255C FBP_degradation_complex
YCL039W FBP_degradation_complex
YMR135C FBP_degradation_complex
YBR105C FBP_degradation_complex
YIL017C FBP_degradation_complex
YGL227W FBP_degradation_complex
YIL097W FBP_degradation_complex
YDL176W FBP_degradation_complex
YDR076W other_DNA_repair_complexes
YDR004W other_DNA_repair_complexes
YDR028C Reg1p/Glc7p_complex
YER133W Reg1p/Glc7p_complex
YOR303W carbamoyl-phosphate_synthase_complex
YJR109C carbamoyl-phosphate_synthase_complex
YML111W Rsp5p/Bul2_ubiquitin_ligase_complex
YER125W Rsp5p/Bul2_ubiquitin_ligase_complex
Q0120 Bi4p/Nam2p_complex
YLR382C Bi4p/Nam2p_complex
YMR287C degradosome
YPL029W degradosome
YGR262C EKC/KEOPS_protein_complex
YML036W EKC/KEOPS_protein_complex
YJL184W EKC/KEOPS_protein_complex
YKR038C EKC/KEOPS_protein_complex
YKR095W-A EKC/KEOPS_protein_complex
YLR075W cytoplasmic_ribosomal_large_subunit
YPR102C cytoplasmic_ribosomal_large_subunit
YGR085C cytoplasmic_ribosomal_large_subunit
YEL054C cytoplasmic_ribosomal_large_subunit
YDR418W cytoplasmic_ribosomal_large_subunit
YDL082W cytoplasmic_ribosomal_large_subunit
YMR142C cytoplasmic_ribosomal_large_subunit
YKL006W cytoplasmic_ribosomal_large_subunit
YHL001W cytoplasmic_ribosomal_large_subunit
YLR029C cytoplasmic_ribosomal_large_subunit
YMR121C cytoplasmic_ribosomal_large_subunit
YIL133C cytoplasmic_ribosomal_large_subunit
YNL069C cytoplasmic_ribosomal_large_subunit
YKL180W cytoplasmic_ribosomal_large_subunit
YJL177W cytoplasmic_ribosomal_large_subunit
YOL120C cytoplasmic_ribosomal_large_subunit
YNL301C cytoplasmic_ribosomal_large_subunit
YBR084C-A cytoplasmic_ribosomal_large_subunit
YBL027W cytoplasmic_ribosomal_large_subunit
YPL220W cytoplasmic_ribosomal_large_subunit
YGL135W cytoplasmic_ribosomal_large_subunit
YMR242C cytoplasmic_ribosomal_large_subunit
YOR312C cytoplasmic_ribosomal_large_subunit
YBR191W cytoplasmic_ribosomal_large_subunit
YPL079W cytoplasmic_ribosomal_large_subunit
YLR061W cytoplasmic_ribosomal_large_subunit
YFL034C-A cytoplasmic_ribosomal_large_subunit
YBL087C cytoplasmic_ribosomal_large_subunit
YER117W cytoplasmic_ribosomal_large_subunit
YGL031C cytoplasmic_ribosomal_large_subunit
YGR148C cytoplasmic_ribosomal_large_subunit
YOL127W cytoplasmic_ribosomal_large_subunit
YLR344W cytoplasmic_ribosomal_large_subunit
YGR034W cytoplasmic_ribosomal_large_subunit
YHR010W cytoplasmic_ribosomal_large_subunit
YDR471W cytoplasmic_ribosomal_large_subunit
YGL103W cytoplasmic_ribosomal_large_subunit
YFR032C-A cytoplasmic_ribosomal_large_subunit
YFR031C-A cytoplasmic_ribosomal_large_subunit
YIL018W cytoplasmic_ribosomal_large_subunit
YOR063W cytoplasmic_ribosomal_large_subunit
YGL030W cytoplasmic_ribosomal_large_subunit
YDL075W cytoplasmic_ribosomal_large_subunit
YLR406C cytoplasmic_ribosomal_large_subunit
YBL092W cytoplasmic_ribosomal_large_subunit
YPL143W cytoplasmic_ribosomal_large_subunit
YOR234C cytoplasmic_ribosomal_large_subunit
YER056C-A cytoplasmic_ribosomal_large_subunit
YIL052C cytoplasmic_ribosomal_large_subunit
YDL191W cytoplasmic_ribosomal_large_subunit
YDL136W cytoplasmic_ribosomal_large_subunit
YMR194W cytoplasmic_ribosomal_large_subunit
YPL249C-A cytoplasmic_ribosomal_large_subunit
YLR185W cytoplasmic_ribosomal_large_subunit
YDR500C cytoplasmic_ribosomal_large_subunit
YLR325C cytoplasmic_ribosomal_large_subunit
YJL189W cytoplasmic_ribosomal_large_subunit
YIL148W cytoplasmic_ribosomal_large_subunit
YKR094C cytoplasmic_ribosomal_large_subunit
YDL184C cytoplasmic_ribosomal_large_subunit
YDL133C-A cytoplasmic_ribosomal_large_subunit
YNL162W cytoplasmic_ribosomal_large_subunit
YHR141C cytoplasmic_ribosomal_large_subunit
YPR043W cytoplasmic_ribosomal_large_subunit
YJR094W-A cytoplasmic_ribosomal_large_subunit
YBR031W cytoplasmic_ribosomal_large_subunit
YDR012W cytoplasmic_ribosomal_large_subunit
YPL131W cytoplasmic_ribosomal_large_subunit
YML073C cytoplasmic_ribosomal_large_subunit
YLR448W cytoplasmic_ribosomal_large_subunit
YGL076C cytoplasmic_ribosomal_large_subunit
YPL198W cytoplasmic_ribosomal_large_subunit
YHL033C cytoplasmic_ribosomal_large_subunit
YLL045C cytoplasmic_ribosomal_large_subunit
YGL147C cytoplasmic_ribosomal_large_subunit
YNL067W cytoplasmic_ribosomal_large_subunit
YLR340W cytoplasmic_ribosomal_large_subunit
YDL081C cytoplasmic_ribosomal_large_subunit
YDL130W cytoplasmic_ribosomal_large_subunit
YOL039W cytoplasmic_ribosomal_large_subunit
YDR382W cytoplasmic_ribosomal_large_subunit
YDL207W Nup82_nuclear_pore_subcomplex
YIL115C Nup82_nuclear_pore_subcomplex
YJL061W Nup82_nuclear_pore_subcomplex
YER027C Snf1p/Snf4p/Gal83p_complex
YDR477W Snf1p/Snf4p/Gal83p_complex
YGL115W Snf1p/Snf4p/Gal83p_complex
YBR112C Tup1p/Ssn6p_complex
YCR084C Tup1p/Ssn6p_complex
YGR003W Cul3p-RING_ubiquitin_ligase_complex
YNL230C Cul3p-RING_ubiquitin_ligase_complex
YPL046C Cul3p-RING_ubiquitin_ligase_complex
YBR114W Cul3p-RING_ubiquitin_ligase_complex
YJR052W Cul3p-RING_ubiquitin_ligase_complex
YPR025C transcription_factor_TFIIH_complex
YDL108W transcription_factor_TFIIH_complex
YDR460W transcription_factor_TFIIH_complex
YER171W transcription_factor_TFIIH_complex
YLR005W transcription_factor_TFIIH_complex
YIL143C transcription_factor_TFIIH_complex
YDR311W transcription_factor_TFIIH_complex
YPL122C transcription_factor_TFIIH_complex
YPR056W transcription_factor_TFIIH_complex
YDR079C-A transcription_factor_TFIIH_complex
YDR517W Grh1p/Bug1p_complex
YDL099W Grh1p/Bug1p_complex
YOR206W Noc2p/Noc3p_complex
YLR002C Noc2p/Noc3p_complex
YBR217W Apg12p/Apg5p/Apg16_multimeric_complex
YMR159C Apg12p/Apg5p/Apg16_multimeric_complex
YPL149W Apg12p/Apg5p/Apg16_multimeric_complex
YMR296C serine_C-palmitoyltransferase_complex
YDR062W serine_C-palmitoyltransferase_complex
YER148W transcription_factor_TFIID_complex
YGR274C transcription_factor_TFIID_complex
YDR167W transcription_factor_TFIID_complex
YML015C transcription_factor_TFIID_complex
YDR145W transcription_factor_TFIID_complex
YML098W transcription_factor_TFIID_complex
YPL129W transcription_factor_TFIID_complex
YCR042C transcription_factor_TFIID_complex
YPL011C transcription_factor_TFIID_complex
YMR005W transcription_factor_TFIID_complex
YBR198C transcription_factor_TFIID_complex
YGL112C transcription_factor_TFIID_complex
YMR227C transcription_factor_TFIID_complex
YML114C transcription_factor_TFIID_complex
YMR236W transcription_factor_TFIID_complex
YOL069W Ndc80p_complex
YMR117C Ndc80p_complex
YER018C Ndc80p_complex
YIL144W Ndc80p_complex
YKL189W Hym1p/Kic1p/Sog2p_complex
YHR102W Hym1p/Kic1p/Sog2p_complex
YOR353C Hym1p/Kic1p/Sog2p_complex
YDR060W Noc1p/Noc2p_complex
YOR206W Noc1p/Noc2p_complex
YDL201W tRNA_Methyltransferase_Complex
YDR165W tRNA_Methyltransferase_Complex
YEL055C UTP_A_complex
YPL126W UTP_A_complex
YDR324C UTP_A_complex
YGR128C UTP_A_complex
YHR196W UTP_A_complex
YJL109C UTP_A_complex
YMR093W UTP_A_complex
YOR346W Polzeta-Rev1p_complex
YPL167C Polzeta-Rev1p_complex
YIL139C Polzeta-Rev1p_complex
YIL026C nuclear_cohesin_complex
YDL003W nuclear_cohesin_complex
YPR007C nuclear_cohesin_complex
YFL008W nuclear_cohesin_complex
YJL074C nuclear_cohesin_complex
YAL041W Cdc24p/Far1p/Gbetagamma_protein_complex
YJL157C Cdc24p/Far1p/Gbetagamma_protein_complex
YJR086W Cdc24p/Far1p/Gbetagamma_protein_complex
YOR212W Cdc24p/Far1p/Gbetagamma_protein_complex
YFL034C-B Mob2p/Cbk1p_complex
YNL161W Mob2p/Cbk1p_complex
YBR036C Csh1p/Csg2p_complex
YBR161W Csh1p/Csg2p_complex
YMR167W Mlh1p/Pms1p_complex
YNL082W Mlh1p/Pms1p_complex
YNL124W Shq1p/Naf1p_complex
YIL104C Shq1p/Naf1p_complex
YJR086W heterodimeric_G-protein_complex
YOR212W heterodimeric_G-protein_complex
YGL105W methionyl_glutamyl_tRNA_synthetase_complex
YGL245W methionyl_glutamyl_tRNA_synthetase_complex
YGR264C methionyl_glutamyl_tRNA_synthetase_complex
YIR022W signal_peptidase_complex
YJR010C-A signal_peptidase_complex
YML055W signal_peptidase_complex
YLR066W signal_peptidase_complex
YNL244C eIF1/eIF1A/40S_complex
YMR260C eIF1/eIF1A/40S_complex
YBR160W Cdc28p/Cln1p_complex
YMR199W Cdc28p/Cln1p_complex
YNL232W Nuclear_exosome_complex
YOL021C Nuclear_exosome_complex
YHR081W Nuclear_exosome_complex
YGR158C Nuclear_exosome_complex
YHR069C Nuclear_exosome_complex
YOL142W Nuclear_exosome_complex
YDL111C Nuclear_exosome_complex
YCR035C Nuclear_exosome_complex
YDR280W Nuclear_exosome_complex
YGR095C Nuclear_exosome_complex
YOR001W Nuclear_exosome_complex
YGR195W Nuclear_exosome_complex
YGL086W Mad1p/Mad2p_complex
YJL030W Mad1p/Mad2p_complex
YMR080C Nonsense-mediated_mRNA_decay_pathway_complex
YHR077C Nonsense-mediated_mRNA_decay_pathway_complex
YGR072W Nonsense-mediated_mRNA_decay_pathway_complex
YNL138W-A SF3b_complex
YMR240C SF3b_complex
YMR288W SF3b_complex
YOR319W SF3b_complex
YPR094W SF3b_complex
YML049C SF3b_complex
YJL209W Cbp1p/Pet309p_complex
YLR067C Cbp1p/Pet309p_complex
YFL039C NuA4_histone_acetyltransferase_complex
YJL081C NuA4_histone_acetyltransferase_complex
YPR023C NuA4_histone_acetyltransferase_complex
YEL018W NuA4_histone_acetyltransferase_complex
YJR082C NuA4_histone_acetyltransferase_complex
YNL136W NuA4_histone_acetyltransferase_complex
YFL024C NuA4_histone_acetyltransferase_complex
YOR244W NuA4_histone_acetyltransferase_complex
YGR002C NuA4_histone_acetyltransferase_complex
YHR099W NuA4_histone_acetyltransferase_complex
YDR359C NuA4_histone_acetyltransferase_complex
YNL107W NuA4_histone_acetyltransferase_complex
YHR090C NuA4_histone_acetyltransferase_complex
YIL035C protein_kinase_CK2_complex
YOR061W protein_kinase_CK2_complex
YGL019W protein_kinase_CK2_complex
YOR039W protein_kinase_CK2_complex
YMR127C SAS_Complex
YDR181C SAS_Complex
YOR213C SAS_Complex
YJR089W Sli15p/Bir1p_complex
YBR156C Sli15p/Bir1p_complex
YDL145C COPI
YER122C COPI
YFR051C COPI
YPL010W COPI
YNL287W COPI
YDR238C COPI
YGL137W COPI
YIL076W COPI
YGL194C Set3p_complex
YIL112W Set3p_complex
YDR155C Set3p_complex
YOL068C Set3p_complex
YKR029C Set3p_complex
YBR103W Set3p_complex
YCR033W Set3p_complex
YPL022W nucleotide-excision_repair_factor_1_complex
YML095C nucleotide-excision_repair_factor_1_complex
YMR201C nucleotide-excision_repair_factor_1_complex
YMR048W Tof1p/Mrc1p/Csm3p_complex
YCL061C Tof1p/Mrc1p/Csm3p_complex
YNL273W Tof1p/Mrc1p/Csm3p_complex
YFL039C Swr1p_complex
YJL081C Swr1p_complex
YLR085C Swr1p_complex
YDR190C Swr1p_complex
YPL235W Swr1p_complex
YAL011W Swr1p_complex
YGR002C Swr1p_complex
YBR231C Swr1p_complex
YLR385C Swr1p_complex
YDR334W Swr1p_complex
YML041C Swr1p_complex
YDR485C Swr1p_complex
YNL107W Swr1p_complex
YNL172W anaphase-promoting_complex
YDL008W anaphase-promoting_complex
YLR127C anaphase-promoting_complex
YDR118W anaphase-promoting_complex
YOR249C anaphase-promoting_complex
YLR102C anaphase-promoting_complex
YKL022C anaphase-promoting_complex
YGL116W anaphase-promoting_complex
YHR166C anaphase-promoting_complex
YFR036W anaphase-promoting_complex
YBL084C anaphase-promoting_complex
YGL003C anaphase-promoting_complex
YGL240W anaphase-promoting_complex
YIR025W anaphase-promoting_complex
YDR260C anaphase-promoting_complex
YKL148C Succinate_dehydrogenase_complex_(complex_II)
YLL041C Succinate_dehydrogenase_complex_(complex_II)
YKL141W Succinate_dehydrogenase_complex_(complex_II)
YDR178W Succinate_dehydrogenase_complex_(complex_II)
YOL001W Pho85p/Pho80p_complex
YPL031C Pho85p/Pho80p_complex
YHR005C heterotrimeric_G-protein_complex
YJR086W heterotrimeric_G-protein_complex
YOR212W heterotrimeric_G-protein_complex
YIL153W Tap42p/Sit4p/Rrd1p_complex
YDL047W Tap42p/Sit4p/Rrd1p_complex
YMR028W Tap42p/Sit4p/Rrd1p_complex
YGL206C Clathrin
YGR167W Clathrin
YLR329W meiotic_recombination_initiation_complex
YHR157W meiotic_recombination_initiation_complex
YHL022C meiotic_recombination_initiation_complex
