ORF Complex
YHR039C-A "H+-transporting_ATPase,_vacuolar"
YPR036W "H+-transporting_ATPase,_vacuolar"
YBR127C "H+-transporting_ATPase,_vacuolar"
YOR332W "H+-transporting_ATPase,_vacuolar"
YKL080W "H+-transporting_ATPase,_vacuolar"
YLR447C "H+-transporting_ATPase,_vacuolar"
YGR020C "H+-transporting_ATPase,_vacuolar"
YEL051W "H+-transporting_ATPase,_vacuolar"
YOR270C "H+-transporting_ATPase,_vacuolar"
YBR160W Cdc28p/Clb5p_complex
YPR120C Cdc28p/Clb5p_complex
YNL221C nucleolar_ribonuclease_P_complex
YNL282W nucleolar_ribonuclease_P_complex
YBR257W nucleolar_ribonuclease_P_complex
YAL033W nucleolar_ribonuclease_P_complex
YGR030C nucleolar_ribonuclease_P_complex
YBR167C nucleolar_ribonuclease_P_complex
YBL018C nucleolar_ribonuclease_P_complex
YIR015W nucleolar_ribonuclease_P_complex
YHR062C nucleolar_ribonuclease_P_complex
YLR163C mitochondrial_processing_peptidase_complex
YHR024C mitochondrial_processing_peptidase_complex
YKR020W GARP_complex
YDR484W GARP_complex
YJL029C GARP_complex
YDR027C GARP_complex
YGR092W Mob1p/Dbf2p_complex
YIL106W Mob1p/Dbf2p_complex
YER173W DNA_replication_factor_C_complex_(Rad24p)
YJR068W DNA_replication_factor_C_complex_(Rad24p)
YNL290W DNA_replication_factor_C_complex_(Rad24p)
YOL094C DNA_replication_factor_C_complex_(Rad24p)
YBR087W DNA_replication_factor_C_complex_(Rad24p)
YNL230C Ela1p/Elc1p_complex
YPL046C Ela1p/Elc1p_complex
YPL002C ESCRT_II_complex
YJR102C ESCRT_II_complex
YLR417W ESCRT_II_complex
YGL237C CCAAT-binding_factor_complex
YBL021C CCAAT-binding_factor_complex
YKL109W CCAAT-binding_factor_complex
YOR358W CCAAT-binding_factor_complex
YKR028W Sap190p/Sit4p_complex
YDL047W Sap190p/Sit4p_complex
YER159C NC2_complex
YDR397C NC2_complex
YJL115W Rad53p/Asf1p_complex
YPL153C Rad53p/Asf1p_complex
YLR060W Phenylalaninine-tRNA-ligase
YFL022C Phenylalaninine-tRNA-ligase
YLR246W palmitoyltransferase_complex
YOL110W palmitoyltransferase_complex
YGL174W RES_complex
YLR016C RES_complex
YIR005W RES_complex
YNL221C ribonuclease_MRP_complex
YNL282W ribonuclease_MRP_complex
YBR257W ribonuclease_MRP_complex
YAL033W ribonuclease_MRP_complex
YGR030C ribonuclease_MRP_complex
YBR167C ribonuclease_MRP_complex
YBL018C ribonuclease_MRP_complex
YLR145W ribonuclease_MRP_complex
YHR062C ribonuclease_MRP_complex
YDR478W ribonuclease_MRP_complex
YPL121C Mei5p/Sae3p_complex
YHR079C-A Mei5p/Sae3p_complex
YDL181W mitochondrial_ATPase_inhibitor_complex
YDL130W-A mitochondrial_ATPase_inhibitor_complex
YGR008C mitochondrial_ATPase_inhibitor_complex
YMR059W tRNA-intron_endonuclease_complex
YLR105C tRNA-intron_endonuclease_complex
YAR008W tRNA-intron_endonuclease_complex
YPL083C tRNA-intron_endonuclease_complex
YDR137W guanyl-nucleotide_exchange_factor_complex
YLR039C guanyl-nucleotide_exchange_factor_complex
YOR310C box_C/D_snoRNP_complex
YDL014W box_C/D_snoRNP_complex
YEL026W box_C/D_snoRNP_complex
YLR197W box_C/D_snoRNP_complex
YPL178W commitment_complex
YLR116W commitment_complex
YKL074C commitment_complex
YMR125W commitment_complex
YER029C commitment_complex
YGR074W commitment_complex
YLR275W commitment_complex
YLR147C commitment_complex
YOR159C commitment_complex
YFL017W-A commitment_complex
YPR182W commitment_complex
YDL087C commitment_complex
YBR119W commitment_complex
YHR086W commitment_complex
YML046W commitment_complex
YKL012W commitment_complex
YDR235W commitment_complex
YIL061C commitment_complex
YDR240C commitment_complex
YGR013W commitment_complex
YLR298C commitment_complex
YPR144C Noc4p/Nop14p_complex
YDL148C Noc4p/Nop14p_complex
YPL049C Dig1p/Ste12p/Dig2p_complex
YDR480W Dig1p/Ste12p/Dig2p_complex
YHR084W Dig1p/Ste12p/Dig2p_complex
YBR228W Slx1p/Slx4p_complex
YLR135W Slx1p/Slx4p_complex
YBL026W U6_snRNP_complex
YLR438C-A U6_snRNP_complex
YER112W U6_snRNP_complex
YER146W U6_snRNP_complex
YDR378C U6_snRNP_complex
YNL147W U6_snRNP_complex
YJR022W U6_snRNP_complex
YMR268C U6_snRNP_complex
YDR075W histone_H2A_phosphatase_complex
YNL201C histone_H2A_phosphatase_complex
YBL046W histone_H2A_phosphatase_complex
YAL010C Mdm12p/Mmm1p/Mdm10p_complex
YOL009C Mdm12p/Mmm1p/Mdm10p_complex
YLL006W Mdm12p/Mmm1p/Mdm10p_complex
YML085C Tubulins
YFL037W Tubulins
YMR055C Bub2p/Bfa1p_complex
YJR053W Bub2p/Bfa1p_complex
YNL102W alpha_DNA_polymerase:primase_complex
YBL035C alpha_DNA_polymerase:primase_complex
YIR008C alpha_DNA_polymerase:primase_complex
YKL045W alpha_DNA_polymerase:primase_complex
YDR301W mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YLR115W mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YJR093C mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YER133W mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YKL059C mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YKR002W mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YNL317W mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YAL043C mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YGR156W mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YDR195W mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YNL222W mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YKL018W mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YOR179C mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YLR277C mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YPR107C mRNA_cleavage_and_polyadenylation_specificity_factor_complex
YJR094C Ume6p/Ime1p_complex
YDR207C Ume6p/Ime1p_complex
YDL042C chromatin_silencing_complex
YLR442C chromatin_silencing_complex
YDR227W chromatin_silencing_complex
YHR005C-A mitochondrial_intermembrane_space_protein_transporter_complex
YEL020W-A mitochondrial_intermembrane_space_protein_transporter_complex
YOR026W mitotic_checkpoint_complex
YGL116W mitotic_checkpoint_complex
YJL030W mitotic_checkpoint_complex
YJL013C mitotic_checkpoint_complex
YPL147W Pxa1p/Pxa2p_complex
YKL188C Pxa1p/Pxa2p_complex
YDR422C Snf1p/Snf4p/Sip1p_complex
YDR477W Snf1p/Snf4p/Sip1p_complex
YGL115W Snf1p/Snf4p/Sip1p_complex
YOR005C DNA_ligase_IV
YGL090W DNA_ligase_IV
YOR321W Protein_O-mannosyltransferase(Pmt3p/Pmt5p)
YDL093W Protein_O-mannosyltransferase(Pmt3p/Pmt5p)
YGR009C SNARE_complex
YPL232W SNARE_complex
YAL030W SNARE_complex
YBR126C "alpha,alpha-trehalose-phosphate_synthase_complex_(UDP-forming)"
YDR074W "alpha,alpha-trehalose-phosphate_synthase_complex_(UDP-forming)"
YMR261C "alpha,alpha-trehalose-phosphate_synthase_complex_(UDP-forming)"
YML100W "alpha,alpha-trehalose-phosphate_synthase_complex_(UDP-forming)"
YFL039C Ino80p_complex
YJL081C Ino80p_complex
YNL059C Ino80p_complex
YOR141C Ino80p_complex
YFL013C Ino80p_complex
YLR052W Ino80p_complex
YOR189W Ino80p_complex
YGL150C Ino80p_complex
YDL002C Ino80p_complex
YDR190C Ino80p_complex
YPL235W Ino80p_complex
YPL129W Ino80p_complex
YLL010C Psr1p/Whi2p_complex
YOR043W Psr1p/Whi2p_complex
YPL042C Kornberg's_mediator_(SRB)_complex
YNL025C Kornberg's_mediator_(SRB)_complex
YCR081W Kornberg's_mediator_(SRB)_complex
YDR443C Kornberg's_mediator_(SRB)_complex
YNR010W Kornberg's_mediator_(SRB)_complex
YOL051W Kornberg's_mediator_(SRB)_complex
YPR070W Kornberg's_mediator_(SRB)_complex
YMR112C Kornberg's_mediator_(SRB)_complex
YDL005C Kornberg's_mediator_(SRB)_complex
YOR174W Kornberg's_mediator_(SRB)_complex
YHR058C Kornberg's_mediator_(SRB)_complex
YOL135C Kornberg's_mediator_(SRB)_complex
YBR193C Kornberg's_mediator_(SRB)_complex
YGL151W Kornberg's_mediator_(SRB)_complex
YPR168W Kornberg's_mediator_(SRB)_complex
YGL025C Kornberg's_mediator_(SRB)_complex
YLR071C Kornberg's_mediator_(SRB)_complex
YBL093C Kornberg's_mediator_(SRB)_complex
YNL236W Kornberg's_mediator_(SRB)_complex
YHR041C Kornberg's_mediator_(SRB)_complex
YER022W Kornberg's_mediator_(SRB)_complex
YGR104C Kornberg's_mediator_(SRB)_complex
YBR253W Kornberg's_mediator_(SRB)_complex
YDR308C Kornberg's_mediator_(SRB)_complex
YGL127C Kornberg's_mediator_(SRB)_complex
YER072W VTC_heterotetrameric_complex
YFL004W VTC_heterotetrameric_complex
YPL019C VTC_heterotetrameric_complex
YJL012C VTC_heterotetrameric_complex
