bin	deg	k	value
0.1	50.0	6.0	0.2786486252229906
0.15	50.0	6.0	0.19832113395028397
0.2	50.0	6.0	0.0
0.25	50.0	6.0	0.1202165012212254
0.3	50.0	6.0	0.06433409962935237
0.35	50.0	6.0	0.03190338937679647
0.4	50.0	6.0	0.0
0.45	50.0	6.0	0.015145547589407015
0.5	50.0	6.0	0.00687272988269856
0.55	50.0	6.0	0.0030269603749406237
0.6	50.0	6.0	0.0
0.65	50.0	6.0	0.001341767248406946
0.7	50.0	6.0	0.0005821813312277081
0.75	50.0	6.0	0.00023338975955883081
0.8	50.0	6.0	0.0
0.85	50.0	6.0	9.298625123771829e-05
0.9	50.0	6.0	3.758134622442759e-05
0.95	50.0	6.0	1.7142996857616323e-05
1.0	50.0	6.0	4.613493512872926e-06
0.05	100.0	3.0	0.6877327687743205
0.1	100.0	3.0	0.0
0.15	100.0	3.0	0.0
0.2	100.0	3.0	0.0
0.25	100.0	3.0	0.0
0.3	100.0	3.0	0.0
0.35	100.0	3.0	0.2478299762944851
0.4	100.0	3.0	0.0
0.45	100.0	3.0	0.0
0.5	100.0	3.0	0.0
0.55	100.0	3.0	0.0
0.6	100.0	3.0	0.0
0.65	100.0	3.0	0.0
0.7	100.0	3.0	0.05380853696718501
0.75	100.0	3.0	0.0
0.8	100.0	3.0	0.0
0.85	100.0	3.0	0.0
0.9	100.0	3.0	0.0
0.95	100.0	3.0	0.0
1.0	100.0	3.0	0.010628717964009363
0.05	100.0	4.0	0.5190682432514467
0.1	100.0	4.0	0.0
0.15	100.0	4.0	0.0
0.2	100.0	4.0	0.30724115323357715
0.25	100.0	4.0	0.0
0.3	100.0	4.0	0.0
0.35	100.0	4.0	0.12089256287741071
0.4	100.0	4.0	0.0
0.45	100.0	4.0	0.0
0.5	100.0	4.0	0.0
0.55	100.0	4.0	0.039587171135533235
0.6	100.0	4.0	0.0
0.65	100.0	4.0	0.0
0.7	100.0	4.0	0.010085624609321393
0.75	100.0	4.0	0.0
0.8	100.0	4.0	0.0
0.85	100.0	4.0	0.0025213141738474267
0.9	100.0	4.0	0.0
0.95	100.0	4.0	0.0
1.0	100.0	4.0	0.000603930718863352
0.05	100.0	5.0	0.36958457028159597
0.1	100.0	5.0	0.0
0.15	100.0	5.0	0.31500598441132704
0.2	100.0	5.0	0.0
0.25	100.0	5.0	0.17947319554547136
0.3	100.0	5.0	0.0
0.35	100.0	5.0	0.08407727254844914
0.4	100.0	5.0	0.0
0.45	100.0	5.0	0.033527496410188415
0.5	100.0	5.0	0.0
0.55	100.0	5.0	0.012230681762086717
0.6	100.0	5.0	0.0
0.65	100.0	5.0	0.004242514762594351
0.7	100.0	5.0	0.0
0.75	100.0	5.0	0.0013048188234518882
0.8	100.0	5.0	0.0
0.85	100.0	5.0	0.00039783792800608306
0.9	100.0	5.0	0.0
0.95	100.0	5.0	0.0001241499667731106
1.0	100.0	5.0	3.147756005593937e-05
0.05	100.0	6.0	0.25176123774812037
0.1	100.0	6.0	0.2839463924637544
0.15	100.0	6.0	0.211221351106477
0.2	100.0	6.0	0.0
0.25	100.0	6.0	0.12831189462958473
0.3	100.0	6.0	0.0676048806008424
0.35	100.0	6.0	0.03235968367638546
0.4	100.0	6.0	0.0
0.45	100.0	6.0	0.014517035830712764
0.5	100.0	6.0	0.006141307160562818
0.55	100.0	6.0	0.0025062614269985746
0.6	100.0	6.0	0.0
0.65	100.0	6.0	0.0010073614201092224
0.7	100.0	6.0	0.00039650636843018103
0.75	100.0	6.0	0.00014571680085805232
0.8	100.0	6.0	0.0
0.85	100.0	6.0	5.296349891019294e-05
0.9	100.0	6.0	1.9266452934353124e-05
0.95	100.0	6.0	6.612989300980095e-06
1.0	100.0	6.0	1.52782601846848e-06
