from	to	weight
subgroup_95	subgroup_104	4.0
subgroup_96	subgroup_114	1.0
subgroup_98	subgroup_136	1.0
subgroup_99	subgroup_115	5.0
subgroup_100	subgroup_106	456.0
subgroup_105	subgroup_132	5.0
subgroup_107	subgroup_118	3.0
subgroup_107	subgroup_125	3.0
subgroup_109	subgroup_127	3.0
subgroup_110	subgroup_126	2.0
subgroup_115	subgroup_117	12.0
subgroup_115	subgroup_121	6.0
subgroup_115	subgroup_122	6.0
subgroup_117	subgroup_124	3.0
subgroup_117	subgroup_133	12.0
subgroup_120	subgroup_121	2.0
subgroup_121	subgroup_122	3.0
subgroup_130	subgroup_131	2.0
subgroup_131	subgroup_132	2.0
