from	to	weight
subgroup_0	subgroup_100	0.08
subgroup_1	subgroup_3	-0.143
subgroup_1	subgroup_25	0.08499999999999999
subgroup_1	subgroup_54	0.05600000000000001
subgroup_1	subgroup_56	-0.09099999999999998
subgroup_1	subgroup_66	0.07800000000000001
subgroup_1	subgroup_81	-0.11
subgroup_1	subgroup_82	0.08800000000000001
subgroup_2	subgroup_25	0.068
subgroup_3	subgroup_25	0.089
subgroup_3	subgroup_40	-0.096
subgroup_3	subgroup_50	-0.065
subgroup_3	subgroup_54	0.053000000000000005
subgroup_3	subgroup_66	0.1354814814814815
subgroup_3	subgroup_101	-0.124
subgroup_3	subgroup_104	0.08499999999999999
subgroup_4	subgroup_76	-0.616
subgroup_4	subgroup_100	-0.071
subgroup_5	subgroup_27	-0.09899999999999999
subgroup_5	subgroup_35	0.07
subgroup_5	subgroup_36	0.053000000000000005
subgroup_5	subgroup_57	0.079
subgroup_5	subgroup_61	-0.07
subgroup_5	subgroup_73	-0.133
subgroup_5	subgroup_96	0.111
subgroup_5	subgroup_107	0.262
subgroup_5	subgroup_120	-0.131
subgroup_6	subgroup_11	0.06
subgroup_6	subgroup_47	0.134
subgroup_6	subgroup_48	-0.134
subgroup_6	subgroup_50	-0.19699999999999998
subgroup_6	subgroup_52	-0.15256521739130438
subgroup_6	subgroup_84	-0.09699999999999999
subgroup_6	subgroup_93	-0.08800000000000001
subgroup_6	subgroup_132	0.055999999999999994
subgroup_6	subgroup_134	-0.11100000000000003
subgroup_7	subgroup_9	-0.267
subgroup_7	subgroup_11	-0.15499999999999997
subgroup_7	subgroup_18	-0.132
subgroup_7	subgroup_24	-0.11300000000000004
subgroup_7	subgroup_28	-0.21050000000000002
subgroup_7	subgroup_40	-0.085
subgroup_7	subgroup_50	-0.282
subgroup_7	subgroup_60	-0.21100000000000002
subgroup_7	subgroup_72	-0.12374193548387102
subgroup_7	subgroup_75	-0.07200000000000001
subgroup_7	subgroup_80	0.161
subgroup_7	subgroup_84	-0.19699999999999998
subgroup_7	subgroup_94	0.065
subgroup_7	subgroup_100	-0.186
subgroup_7	subgroup_105	0.076
subgroup_7	subgroup_107	-0.16
subgroup_7	subgroup_132	-0.081
subgroup_8	subgroup_76	-0.2650000000000001
subgroup_9	subgroup_11	-0.2579491525423729
subgroup_9	subgroup_15	-0.08008163265306122
subgroup_9	subgroup_17	0.075
subgroup_9	subgroup_28	-0.21155905511811018
subgroup_9	subgroup_31	0.0902857142857143
subgroup_9	subgroup_43	-0.076
subgroup_9	subgroup_47	0.071
subgroup_9	subgroup_50	0.07044444444444446
subgroup_9	subgroup_53	-0.08399999999999999
subgroup_9	subgroup_56	-0.07299999999999998
subgroup_9	subgroup_57	0.064
subgroup_9	subgroup_60	-0.157
subgroup_9	subgroup_61	0.052
subgroup_9	subgroup_63	-0.06499999999999999
subgroup_9	subgroup_72	-0.07137500000000001
subgroup_9	subgroup_81	0.06730769230769229
subgroup_9	subgroup_82	0.17200000000000004
subgroup_9	subgroup_83	-0.069
subgroup_9	subgroup_84	-0.36399999999999993
subgroup_9	subgroup_86	0.10099999999999999
subgroup_9	subgroup_96	-0.0763
subgroup_9	subgroup_108	0.08911428571428572
subgroup_10	subgroup_72	0.055
subgroup_10	subgroup_100	0.057999999999999996
subgroup_11	subgroup_12	-0.102
subgroup_11	subgroup_15	-0.176
subgroup_11	subgroup_17	-0.158
subgroup_11	subgroup_18	-0.158
subgroup_11	subgroup_21	-0.09699999999999999
subgroup_11	subgroup_23	0.085
subgroup_11	subgroup_24	0.054000000000000006
subgroup_11	subgroup_28	-0.6530232558139536
subgroup_11	subgroup_31	-0.1587435897435897
subgroup_11	subgroup_34	0.060999999999999985
subgroup_11	subgroup_38	-0.084
subgroup_11	subgroup_43	-0.085
subgroup_11	subgroup_47	-0.083
subgroup_11	subgroup_50	0.04691304347826088
subgroup_11	subgroup_54	0.056
subgroup_11	subgroup_56	-0.11500000000000002
subgroup_11	subgroup_60	-0.39354374999999997
subgroup_11	subgroup_63	-0.121
subgroup_11	subgroup_72	0.03995238095238094
subgroup_11	subgroup_77	-0.11880000000000002
subgroup_11	subgroup_81	0.10099999999999999
subgroup_11	subgroup_96	-0.17872727272727273
subgroup_11	subgroup_108	-0.065
subgroup_11	subgroup_110	0.076
subgroup_11	subgroup_132	-0.08199999999999999
subgroup_12	subgroup_15	0.055
subgroup_12	subgroup_28	0.096
subgroup_12	subgroup_70	0.08199999999999999
subgroup_12	subgroup_110	-0.068
subgroup_13	subgroup_54	-0.066
subgroup_13	subgroup_66	0.13699999999999998
subgroup_14	subgroup_40	-0.079
subgroup_14	subgroup_72	-0.091
subgroup_14	subgroup_84	0.064
subgroup_14	subgroup_106	0.08
subgroup_15	subgroup_25	0.06
subgroup_15	subgroup_47	0.11900000000000001
subgroup_15	subgroup_52	-0.20600000000000004
subgroup_15	subgroup_54	-0.103
subgroup_15	subgroup_55	0.05400000000000001
subgroup_15	subgroup_60	-0.09054999999999998
subgroup_15	subgroup_61	0.066
subgroup_15	subgroup_81	0.08362857142857144
subgroup_15	subgroup_82	0.12599999999999997
subgroup_15	subgroup_83	0.057999999999999996
subgroup_15	subgroup_84	0.083
subgroup_15	subgroup_96	-0.14523076923076922
subgroup_15	subgroup_100	0.05199999999999999
subgroup_15	subgroup_108	0.082
subgroup_17	subgroup_28	0.07200000000000001
subgroup_18	subgroup_34	-0.08
subgroup_18	subgroup_35	-0.07400000000000002
subgroup_18	subgroup_38	-0.067
subgroup_18	subgroup_39	-0.21200000000000002
subgroup_18	subgroup_40	-0.4539999999999999
subgroup_18	subgroup_50	-0.4614117647058824
subgroup_18	subgroup_55	-0.08
subgroup_18	subgroup_56	-0.23399999999999999
subgroup_18	subgroup_61	-0.087
subgroup_18	subgroup_77	-0.2008888888888889
subgroup_18	subgroup_80	0.061
subgroup_18	subgroup_94	-0.143
subgroup_18	subgroup_100	0.053
subgroup_18	subgroup_123	0.092
subgroup_19	subgroup_81	0.059000000000000004
subgroup_20	subgroup_21	-0.111
subgroup_20	subgroup_22	-0.154
subgroup_21	subgroup_22	-0.264
subgroup_21	subgroup_50	-0.075
subgroup_21	subgroup_84	-0.12400000000000001
subgroup_21	subgroup_137	-0.077
subgroup_22	subgroup_75	0.076
subgroup_22	subgroup_107	0.15
subgroup_23	subgroup_24	-0.238
subgroup_23	subgroup_28	0.09575
subgroup_23	subgroup_34	0.09199999999999998
subgroup_23	subgroup_36	0.09211702127659574
subgroup_23	subgroup_37	0.07899999999999997
subgroup_23	subgroup_47	-0.071
subgroup_23	subgroup_50	-0.08254096385542169
subgroup_23	subgroup_72	-0.005666666666666659
subgroup_23	subgroup_90	-0.067
subgroup_23	subgroup_96	0.055
subgroup_23	subgroup_100	0.10656091370558375
subgroup_23	subgroup_107	0.05600000000000001
subgroup_23	subgroup_135	-0.099
subgroup_24	subgroup_28	0.06299999999999999
subgroup_24	subgroup_31	0.08199999999999999
subgroup_24	subgroup_38	-0.24100000000000005
subgroup_24	subgroup_39	0.066
subgroup_24	subgroup_56	0.059000000000000004
subgroup_24	subgroup_72	-0.15248342059336825
subgroup_24	subgroup_77	-0.3360204081632654
subgroup_24	subgroup_79	-0.188
subgroup_24	subgroup_94	-0.08499999999999999
subgroup_24	subgroup_100	0.06000000000000002
subgroup_24	subgroup_106	0.07200000000000004
subgroup_24	subgroup_111	0.09099999999999998
subgroup_24	subgroup_118	0.06
subgroup_25	subgroup_56	0.052
subgroup_25	subgroup_66	-0.09244444444444445
subgroup_25	subgroup_95	0.054000000000000006
subgroup_27	subgroup_73	0.08
subgroup_27	subgroup_127	-0.152
subgroup_28	subgroup_31	-0.10603669724770644
subgroup_28	subgroup_35	0.068
subgroup_28	subgroup_40	0.074875
subgroup_28	subgroup_50	0.06121739130434784
subgroup_28	subgroup_60	-0.3447387387387385
subgroup_28	subgroup_77	0.08
subgroup_28	subgroup_95	-0.08
subgroup_28	subgroup_96	-0.07200000000000001
subgroup_28	subgroup_104	0.012666666666666668
subgroup_28	subgroup_110	-0.568
subgroup_29	subgroup_73	0.08900000000000001
subgroup_29	subgroup_120	0.162
subgroup_30	subgroup_120	0.158
subgroup_30	subgroup_127	-0.132
subgroup_31	subgroup_56	-0.09300000000000001
subgroup_31	subgroup_60	-0.10400000000000001
subgroup_31	subgroup_61	0.055999999999999994
