orf	name	type	betw
19/22S_regulator	19/22S_regulator	C	0.0
20S_proteasome	20S_proteasome	C	0.0
AP-1_adaptor	AP-1_adaptor	C	0.00796
Ada2p/Gcn5p/Ada3	Ada2p/Gcn5p/Ada3	C	0.00161
Arp2/3	Arp2/3	C	0.0
CCR4-NOT	CCR4-NOT	C	0.0
COMPASS	COMPASS	C	0.00015
COPI	COPI	C	0.00013
COPII	COPII	C	0.05553
CORVET	CORVET	C	0.00169
Chs5p/Arf-(ChAPs)	Chs5p/Arf-(ChAPs)	C	0.0
Cul3p-RING_ub_ligase	Cul3p-RING_ub_ligase	C	0.0
Ubiquinol-cytochrome_c_reductase_III	Ubiquinol-cytochrome_c_reductase_III	C	0.00744
Cytochrome_c_oxidase	Cytochrome_c_oxidase	C	0.00207
DASH	DASH	C	0.0
DNA-directed_RNA_pol_III	DNA-directed_RNA_pol_III	C	8e-05
DNA-directed_RNA_pol_II	DNA-directed_RNA_pol_II	C	0.01158
DNA-directed_RNA_pol_I	DNA-directed_RNA_pol_I	C	0.0
DNA_repl_C_(Ctf18p/Ctf8p/dcc1p)	DNA_repl_C_(Ctf18p/Ctf8p/dcc1p)	C	0.01948
DNA_repl_(Elg1p)	DNA_repl_(Elg1p)	C	0.0
DNA_repl_(Rad24p)	DNA_repl_(Rad24p)	C	0.0
DNA_repl_(Rcf1p)	DNA_repl_(Rcf1p)	C	0.00535
Dsl1p	Dsl1p	C	0.00342
EKC/KEOPS_protein	EKC/KEOPS_protein	C	0.0
Elongator	Elongator	C	0.0
Exocyst	Exocyst	C	9e-05
F0/F1_ATP_synthase	F0/F1_ATP_synthase	C	0.00021
FBP_degradation	FBP_degradation	C	0.0
factor_arrest_complex	factor_arrest_complex	C	0.0006
GPI-anchor_transamidase	GPI-anchor_transamidase	C	0.0
GSE	GSE	C	0.0
Golgi_transport	Golgi_transport	C	0.0
H+-transporting_ATPase,_vacuolar	H+-transporting_ATPase,_vacuolar	C	1e-05
HOPS	HOPS	C	0.0
Ino80p	Ino80p	C	0.00083
Kornberg's_mediator	Kornberg's_mediator	C	8e-05
Npa2p-containing_subcomplex	Npa2p-containing_subcomplex	C	0.00143
NuA3_histone_acetyltransferase	NuA3_histone_acetyltransferase	C	0.0004
NuA4_histone_acetyltransferase	NuA4_histone_acetyltransferase	C	0.00091
Nuclear_exosome	Nuclear_exosome	C	0.00137
Nup84p	Nup84p	C	0.03443
OCA	OCA	C	0.00012
Origin_recognition	Origin_recognition	C	0.0
PAM	PAM	C	0.06513
Prp19-associated	Prp19-associated	C	0.0
Q0050	AI1	S	0.00028
Q0110	BI2	S	0.0242
RNA_pol_I_upstream_activating_factor	RNA_pol_I_upstream_activating_factor	C	0.0
RSC	RSC	C	0.0
Rpd3L	Rpd3L	C	4e-05
Rpd3S	Rpd3S	C	0.00182
SAGA_complex	SAGA_complex	C	0.00017
SCF-CDC4	SCF-CDC4	C	0.00345
SF3b	SF3b	C	0.05863
SPB	SPB	C	0.00134
SWI/SNF	SWI/SNF	C	0.00268
Set3p	Set3p	C	0.00112
SRP	SRP	C	0.00037
Swr1p	Swr1p	C	0.0
TORC_2	TORC_2	C	0.0
TRAPP	TRAPP	C	0.0
U2_snRNP	U2_snRNP	C	0.0
U4/U6_x_U5_tri-snRNP	U4/U6_x_U5_tri-snRNP	C	8e-05
U5_snRNP	U5_snRNP	C	5e-05
U6_snRNP	U6_snRNP	C	0.0029
UTP_A	UTP_A	C	0.0
UTP_B	UTP_B	C	0.01359
YAL008W	FUN14	S	0.04904
YAL012W	CYS3	S	0.0
YAL014C	SYN8	S	0.00103
YAL015C	NTG1	S	0.0
YAL017W	PSK1	S	0.02976
YAL018C	LDS1	S	0.00036
YAL019W	FUN30	S	5e-05
YAL020C	ATS1	S	0.00265
YAL022C	FUN26	S	0.0
YAL026C	DRS2	S	0.00862
YAL027W	SAW1	S	0.00244
YAL029C	MYO4	S	0.0
