orf	name	type	betw
ER_V-ATPase_assembly	ER_V-ATPase_assembly	C	5e-05
ESCRT_III	ESCRT_III	C	0.0044
ESCRT_II	ESCRT_II	C	0.0
ESCRT_I	ESCRT_I	C	3e-05
Ela1p/Elc1p	Ela1p/Elc1p	C	0.00041
Elongator	Elongator	C	0.00292
Erv41p/Erv46p	Erv41p/Erv46p	C	0.013
Esp1p/Pds1p	Esp1p/Pds1p	C	0.00086
Exocyst	Exocyst	C	0.00372
F0/F1_ATP_synthase	F0/F1_ATP_synthase	C	0.00161
FBP_degradation	FBP_degradation	C	0.01294
factor_arrest_complex	factor_arrest_complex	C	0.02409
Fatty_Acid_Import	Fatty_Acid_Import	C	0.00866
Fig4p/Vac14p	Fig4p/Vac14p	C	0.0055
Fth1p/Fet5p	Fth1p/Fet5p	C	0.00136
GAL3p/GAL80p	GAL3p/GAL80p	C	0.01115
GAL4p/GAL80p	GAL4p/GAL80p	C	0.00039
GARP	GARP	C	0.01063
GCR	GCR	C	0.00098
GET	GET	C	0.00147
GINS	GINS	C	0.00599
GPI-anchor_transamidase	GPI-anchor_transamidase	C	0.00125
GSE	GSE	C	0.00138
GSH_degradosomal	GSH_degradosomal	C	0.01582
Gac1p/Glc7p	Gac1p/Glc7p	C	0.00015
Gcd10p/Gcd14p	Gcd10p/Gcd14p	C	0.01218
GGTase_II	GGTase_II	C	0.00188
Gip1p/Glc7p	Gip1p/Glc7p	C	0.00036
Golgi_transport	Golgi_transport	C	0.00122
Grh1p/Bug1p	Grh1p/Bug1p	C	0.0
Gyl1p/Gyp5p	Gyl1p/Gyp5p	C	0.0382
H+-transporting_ATPase,_vacuolar	H+-transporting_ATPase,_vacuolar	C	0.00063
HAT-B	HAT-B	C	0.0134
HIR	HIR	C	0.00076
HOPS	HOPS	C	0.00137
Holliday_junction_resolvase	Holliday_junction_resolvase	C	0.00195
Hse1p/Vps27p	Hse1p/Vps27p	C	0.00074
Hym1p/Kic1p/Sog2p	Hym1p/Kic1p/Sog2p	C	0.0025
ISW1a	ISW1a	C	0.00201
Ino2p/Ino4p	Ino2p/Ino4p	C	0.0
Ino80p	Ino80p	C	0.0
Isocitrate_dehydrogenase	Isocitrate_dehydrogenase	C	0.00102
Kel1p/Kel2p	Kel1p/Kel2p	C	0.01184
Kornberg's_mediator	Kornberg's_mediator	C	0.00021
Ku	Ku	C	0.00303
LMA1	LMA1	C	0.01427
Lge1p/Bre1p	Lge1p/Bre1p	C	0.01496
MBF	MBF	C	0.00041
MIND	MIND	C	0.00199
MRX	MRX	C	1e-05
MSH2p/MSH3p	MSH2p/MSH3p	C	0.0
MSH2p/MSH6p	MSH2p/MSH6p	C	0.00018
Mdm12p/Mmm1p/Mdm10p	Mdm12p/Mmm1p/Mdm10p	C	0.00043
Mei5p/Sae3p	Mei5p/Sae3p	C	0.0058
Met4p/Met28p/Met31p	Met4p/Met28p/Met31p	C	0.00028
Met4p/Met28p/Met32p	Met4p/Met28p/Met32p	C	0.00177
Mgm1p/Ugo1p/Fzo1p	Mgm1p/Ugo1p/Fzo1p	C	0.00133
Mks1p/Rtg2p	Mks1p/Rtg2p	C	0.00156
Mlh1p/Mlh2p	Mlh1p/Mlh2p	C	0.00068
Mlh1p/Mlh3p	Mlh1p/Mlh3p	C	0.00309
Mlh1p/Pms1p	Mlh1p/Pms1p	C	0.00186
Mob1p/Dbf2p	Mob1p/Dbf2p	C	0.00299
Mob2p/Cbk1p	Mob2p/Cbk1p	C	0.00207
Mon1p/Ccz1p	Mon1p/Ccz1p	C	0.00015
Mps2p/Bbp1p	Mps2p/Bbp1p	C	0.00397
Mst27p/Mst28p	Mst27p/Mst28p	C	0.00011
Mto1p/Mss1p	Mto1p/Mss1p	C	0.00112
Mtr2p/Mex67p	Mtr2p/Mex67p	C	0.00037
NC2	NC2	C	0.00545
NatA	NatA	C	0.00324
NatB	NatB	C	0.00186
NatC	NatC	C	0.0154
Nem1p/Spo7p	Nem1p/Spo7p	C	0.00207
Nfs1p/Isd11p	Nfs1p/Isd11p	C	0.00049
Npa2p-containing_subcomplex	Npa2p-containing_subcomplex	C	0.00415
NuA3_histone_acetyltransferase	NuA3_histone_acetyltransferase	C	0.0
NuA4_histone_acetyltransferase	NuA4_histone_acetyltransferase	C	0.00275
Nuclear_exosome	Nuclear_exosome	C	0.0
Nup82_NPC_subcomplex	Nup82_NPC_subcomplex	C	0.00024
Nup84p	Nup84p	C	0.00062
OAF	OAF	C	0.00012
OCA	OCA	C	0.00084
Origin_recognition	Origin_recognition	C	0.00082
PAM	PAM	C	0.00419
PAN	PAN	C	0.01581
Permease-Oxidase	Permease-Oxidase	C	0.00216
Phenylalaninine-tRNA-ligase	Phenylalaninine-tRNA-ligase	C	0.00644
Pho85p/Pcl10p	Pho85p/Pcl10p	C	0.00628
Pho85p/Pcl1p	Pho85p/Pcl1p	C	0.00835
Pho85p/Pcl2p	Pho85p/Pcl2p	C	0.00123
Pho85p/Pcl8p	Pho85p/Pcl8p	C	0.0003
Pho85p/Pho80p	Pho85p/Pho80p	C	0.00619
Png1p/Rad23p	Png1p/Rad23p	C	0.00171
Polzeta-Rev1p	Polzeta-Rev1p	C	0.0
Pmt1p/Pmt2p	Pmt1p/Pmt2p	C	0.00011
Pmt3p/Pmt5p	Pmt3p/Pmt5p	C	0.00287
Prp19-associated	Prp19-associated	C	0.0226
Prp9p/Prp11p/Prp21p_complex(SF3a)	Prp9p/Prp11p/Prp21p_complex(SF3a)	C	0.0
Psr1p/Whi2p	Psr1p/Whi2p	C	0.0
Pxa1p/Pxa2p	Pxa1p/Pxa2p	C	0.00092
Q-biosynthetic_Coq_polypeptide	Q-biosynthetic_Coq_polypeptide	C	1e-05
Q0050	AI1	S	0.00031
Q0110	BI2	S	0.0
RAVE	RAVE	C	0.0
RES	RES	C	0.00542
RING_finger_peroxin	RING_finger_peroxin	C	0.00285
RNA_Degradation	RNA_Degradation	C	0.00696
RNA_pol_I_transcription_factor	RNA_pol_I_transcription_factor	C	0.0
RNA_pol_I_upstream_activating_factor	RNA_pol_I_upstream_activating_factor	C	0.0006
RSC	RSC	C	0.0
Rad17p/Ddc1p/Mec3p	Rad17p/Ddc1p/Mec3p	C	0.0004
Rad6p/Rad18p	Rad6p/Rad18p	C	0.0
RecQ_helicase-Topo_III	RecQ_helicase-Topo_III	C	0.02827
Rix1p	Rix1p	C	0.00162
Rot2p/Gtb1p	Rot2p/Gtb1p	C	0.0
Rpd3L	Rpd3L	C	0.00306
Rpd3S	Rpd3S	C	0.00451
Rsp5p/Bul1	Rsp5p/Bul1	C	0.00037
Rtg1p/Rtg3p	Rtg1p/Rtg3p	C	0.00093
Rtt109p/Vps75p	Rtt109p/Vps75p	C	0.00436
SAGA_complex	SAGA_complex	C	0.00162
SAS	SAS	C	0.00012
SBF	SBF	C	1e-05
SCF-CDC4	SCF-CDC4	C	1e-05
SF3b	SF3b	C	0.00787
SNARE	SNARE	C	0.0001
SPB	SPB	C	0.00041
STE5-MAPK	STE5-MAPK	C	0.0
SWI/SNF	SWI/SNF	C	9e-05
Sac3p/Thp1p	Sac3p/Thp1p	C	0.0006
Sap155p/Sit4p	Sap155p/Sit4p	C	0.0
Sap190p/Sit4p	Sap190p/Sit4p	C	0.0
Sds22p/Glc7p	Sds22p/Glc7p	C	0.0
Sec62p/Sec63p	Sec62p/Sec63p	C	0.00184
Set3p	Set3p	C	0.00409
Sfb3p/Sec23p	Sfb3p/Sec23p	C	7e-05
Shq1p/Naf1p	Shq1p/Naf1p	C	6e-05
SRP	SRP	C	0.0
Ski	Ski	C	0.00031
Sko1p/Cyc8p/Tup1_repressor	Sko1p/Cyc8p/Tup1_repressor	C	0.00273
Sli15p/Bir1p	Sli15p/Bir1p	C	0.0
Slx1p/Slx4p	Slx1p/Slx4p	C	2e-05
Slx5p/Slx8p	Slx5p/Slx8p	C	0.00059
Snf1p/Snf4p/Gal83p	Snf1p/Snf4p/Gal83p	C	0.00026
Snf1p/Snf4p/Sip1p	Snf1p/Snf4p/Sip1p	C	7e-05
Snf1p/Snf4p/Sip2p	Snf1p/Snf4p/Sip2p	C	1e-05
Sno1p/Snz1p	Sno1p/Snz1p	C	0.03355
Sod1p/Ccs1p	Sod1p/Ccs1p	C	4e-05
Sro1p/Sec4p/Sec9p	Sro1p/Sec4p/Sec9p	C	0.00012
Ssh1p_translocon	Ssh1p_translocon	C	3e-05
Succinate_dehydrogenase	Succinate_dehydrogenase	C	0.00172
Sum1p/Rfm1p/Hst1p	Sum1p/Rfm1p/Hst1p	C	0.0
Sur1p/Csg2p	Sur1p/Csg2p	C	9e-05
Swh1p/Nvj1p	Swh1p/Nvj1p	C	0.0
Swr1p	Swr1p	C	0.00014
Synaptonemal_complex_(SC)	Synaptonemal_complex_(SC)	C	0.0
THO	THO	C	0.00015
TORC_1	TORC_1	C	7e-05
TORC_2	TORC_2	C	0.00111
TRAMP_complex_(Air1p)	TRAMP_complex_(Air1p)	C	0.0
TRAMP_complex_(Air2p)	TRAMP_complex_(Air2p)	C	0.0
TRAPP	TRAPP	C	0.00012
Tap42p/Pph21p/Rrd2p	Tap42p/Pph21p/Rrd2p	C	0.0
Tap42p/Sit4p/Rrd1p	Tap42p/Sit4p/Rrd1p	C	0.00065
Telomerase	Telomerase	C	2e-05
Tim8p/Tim13p	Tim8p/Tim13p	C	0.00691
Tof1p/Mrc1p/Csm3p	Tof1p/Mrc1p/Csm3p	C	0.00135
U2_snRNP	U2_snRNP	C	4e-05
U4/U6_x_U5_tri-snRNP	U4/U6_x_U5_tri-snRNP	C	0.0
U5_snRNP	U5_snRNP	C	4e-05
U6_snRNP	U6_snRNP	C	0.00584
UDP-N-acetylglucosamine_transferase	UDP-N-acetylglucosamine_transferase	C	0.00024
UTP_A	UTP_A	C	0.00213
UTP_B	UTP_B	C	6e-05
Uba2p/Aos1p	Uba2p/Aos1p	C	0.00298
Ula1p/Uba3p	Ula1p/Uba3p	C	0.00028
Ume6p/Ime1p	Ume6p/Ime1p	C	0.0
VTC_heterotetrameric	VTC_heterotetrameric	C	0.00373
Vam3p/Vam7_vacuolar_tSNARE	Vam3p/Vam7_vacuolar_tSNARE	C	0.0
YAL008W	FUN14	S	0.0
YAL012W	CYS3	S	0.00097
YAL014C	SYN8	S	0.00248
YAL015C	NTG1	S	0.00969
YAL017W	PSK1	S	0.00085
YAL018C	LDS1	S	0.00154
YAL019W	FUN30	S	0.01739
YAL020C	ATS1	S	5e-05
YAL022C	FUN26	S	0.0
YAL025C	MAK16	S	0.0
YAL026C	DRS2	S	0.00202
YAL027W	SAW1	S	0.00595
YAL029C	MYO4	S	0.00015
YAL031C	GIP4	S	0.0
YAL036C	RBG1	S	4e-05
YAL039C	CYC3	S	0.00137
YAL044W-A	YAL044W-A	S	0.0011
YAL046C	AIM1	S	2e-05
YAL048C	GEM1	S	0.0
YAL049C	AIM2	S	5e-05
YAL053W	FLC2	S	0.01449
YAL054C	ACS1	S	0.00093
YAL055W	PEX22	S	4e-05
YAL056W	GPB2	S	5e-05
YAL058W	CNE1	S	0.00035
YAL059W	ECM1	S	0.00269
YAL060W	BDH1	S	0.0
YAL061W	BDH2	S	0.00018
YAL062W	GDH3	S	0.00035
YAL067C	SEO1	S	0.00053
YAR010C	YAR010C	S	0.00356
YAR023C	YAR023C	S	0.00056
YAR028W	YAR028W	S	0.00145
YAR031W	PRM9	S	0.00024
YAR035W	YAT1	S	0.00204
YAR066W	YAR066W	S	0.00106
YAR071W	PHO11	S	0.0001
YBL001C	ECM15	S	0.00252
YBL005W	PDR3	S	0.00411
YBL005W-A	YBL005W-A	S	9e-05
YBL009W	ALK2	S	0.00063
YBL010C	YBL010C	S	0.00085
YBL011W	SCT1	S	0.0
YBL015W	ACH1	S	0.00103
YBL017C	PEP1	S	0.00218
YBL019W	APN2	S	0.00275
YBL020W	RFT1	S	0.0008
YBL022C	PIM1	S	0.00054
YBL024W	NCL1	S	0.0
YBL029C-A	YBL029C-A	S	0.0
YBL029W	YBL029W	S	0.0
YBL031W	SHE1	S	0.0016
YBL034C	STU1	S	5e-05
YBL036C	YBL036C	S	4e-05
YBL039W-B	YBL039W-B	S	0.0
YBL040C	ERD2	S	0.00206
YBL042C	FUI1	S	0.00228
YBL043W	ECM13	S	0.00132
YBL044W	YBL044W	S	0.00661
YBL049W	MOH1	S	0.0
YBL050W	SEC17	S	0.00034
YBL051C	PIN4	S	0.00055
YBL054W	TOD6	S	0.00081
YBL055C	YBL055C	S	0.00054
YBL056W	PTC3	S	0.00023
YBL057C	PTH2	S	0.0003
YBL059C-A	CMC2	S	0.00239
YBL059W	YBL059W	S	0.0
YBL060W	YEL1	S	0.00509
YBL061C	SKT5	S	0.0028
YBL063W	KIP1	S	0.0
YBL064C	PRX1	S	1e-05
YBL068W	PRS4	S	0.0
YBL071W-A	KTI11	S	0.0
YBL080C	PET112	S	0.00268
YBL081W	YBL081W	S	7e-05
YBL082C	ALG3	S	2e-05
YBL086C	YBL086C	S	0.00242
YBL088C	TEL1	S	0.00318
YBL089W	AVT5	S	9e-05
YBL091C	MAP2	S	0.00048
YBL091C-A	SCS22	S	0.00385
YBL095W	YBL095W	S	0.00017
YBL101C	ECM21	S	0.0
YBL102W	SFT2	S	0.0
YBL104C	SEA4	S	1e-05
YBL106C	SRO77	S	0.0
YBR001C	NTH2	S	6e-05
YBR002C	RER2	S	7e-05
YBR004C	GPI18	S	0.0011
YBR006W	UGA2	S	0.00054
YBR007C	DSF2	S	0.00413
YBR015C	MNN2	S	6e-05
YBR018C	GAL7	S	0.00299
YBR019C	GAL10	S	0.00422
YBR020W	GAL1	S	0.00029
YBR021W	FUR4	S	0.0051
YBR023C	CHS3	S	0.00699
YBR024W	SCO2	S	0.00473
YBR026C	ETR1	S	0.00025
YBR028C	YPK3	S	0.0064
YBR029C	CDS1	S	0.0
YBR030W	RKM3	S	0.00391
YBR035C	PDX3	S	0.00851
YBR037C	SCO1	S	2e-05
YBR038W	CHS2	S	0.0002
YBR040W	FIG1	S	0.00068
YBR042C	CST26	S	0.00014
YBR044C	TCM62	S	0.00038
YBR046C	ZTA1	S	0.00184
YBR049C	REB1	S	0.0003
YBR052C	RFS1	S	0.00162
YBR053C	YBR053C	S	0.00057
YBR054W	YRO2	S	0.00536
YBR056W	YBR056W	S	0.00174
YBR058C	UBP14	S	0.00754
YBR058C-A	TSC3	S	0.00079
YBR061C	TRM7	S	0.00097
YBR062C	YBR062C	S	0.00012
YBR063C	YBR063C	S	0.00016
YBR065C	ECM2	S	5e-05
YBR066C	NRG2	S	0.0
YBR068C	BAP2	S	1e-05
YBR069C	TAT1	S	0.00544
YBR073W	RDH54	S	0.00268
YBR078W	ECM33	S	0.01557
YBR083W	TEC1	S	7e-05
YBR085W	AAC3	S	0.00102
YBR086C	IST2	S	5e-05
YBR093C	PHO5	S	0.00356
YBR094W	PBY1	S	0.0
YBR096W	YBR096W	S	0.0004
YBR101C	FES1	S	2e-05
YBR107C	IML3	S	0.00284
YBR108W	AIM3	S	0.00076
YBR110W	ALG1	S	0.00262
YBR111C	YSA1	S	0.00619
YBR115C	LYS2	S	0.0034
YBR117C	TKL2	S	0.00054
YBR120C	CBP6	S	0.00036
YBR121C	GRS1	S	0.00105
YBR125C	PTC4	S	0.00709
YBR129C	OPY1	S	0.00021
YBR130C	SHE3	S	0.00052
YBR132C	AGP2	S	0.00235
YBR133C	HSL7	S	0.00223
YBR137W	YBR137W	S	0.00068
YBR138C	YBR138C	S	0.02582
YBR139W	YBR139W	S	0.0
YBR140C	IRA1	S	0.0
YBR141C	BMT2	S	0.00087
YBR145W	ADH5	S	0.00027
YBR148W	YSW1	S	0.00098
YBR149W	ARA1	S	0.00414
YBR150C	TBS1	S	0.00164
YBR151W	APD1	S	1e-05
YBR155W	CNS1	S	0.00092
YBR157C	ICS2	S	0.00212
YBR158W	AMN1	S	0.0018
YBR162C	TOS1	S	0.00049
YBR164C	ARL1	S	0.00046
YBR166C	TYR1	S	0.0
YBR169C	SSE2	S	0.0
YBR172C	SMY2	S	0.0
YBR173C	UMP1	S	0.00026
YBR177C	EHT1	S	0.0002
YBR180W	DTR1	S	0.00242
YBR182C	SMP1	S	0.00124
YBR183W	YPC1	S	0.00058
YBR185C	MBA1	S	0.00044
YBR186W	PCH2	S	0.0004
YBR187W	GDT1	S	0.00039
YBR199W	KTR4	S	0.0005
YBR205W	KTR3	S	0.00043
YBR208C	DUR1,2	S	0.00412
YBR212W	NGR1	S	0.00108
YBR214W	SDS24	S	0.00035
YBR216C	YBP1	S	0.00369
YBR218C	PYC2	S	0.01022
YBR219C	YBR219C	S	0.00344
YBR222C	PCS60	S	1e-05
YBR223C	TDP1	S	0.00055
YBR225W	YBR225W	S	0.00046
YBR227C	MCX1	S	0.0
YBR230C	OM14	S	0.00013
YBR233W	PBP2	S	5e-05
YBR235W	VHC1	S	0.00333
YBR236C	ABD1	S	0.0003
YBR237W	PRP5	S	0.0
YBR239C	ERT1	S	0.0
YBR240C	THI2	S	0.00741
YBR241C	YBR241C	S	0.00017
YBR243C	ALG7	S	1e-05
YBR244W	GPX2	S	0.00262
YBR246W	RRT2	S	0.00019
YBR248C	HIS7	S	0.00177
YBR249C	ARO4	S	0.00059
YBR252W	DUT1	S	8e-05
YBR255C-A	YBR255C-A	S	0.00292
YBR255W	MTC4	S	0.0
YBR259W	YBR259W	S	0.0
YBR260C	RGD1	S	9e-05
YBR262C	MIC12	S	0.00022
YBR264C	YPT10	S	0.00054
YBR267W	REI1	S	0.0
YBR269C	SDH8	S	0.0006
YBR270C	BIT2	S	0.00445
YBR272C	HSM3	S	0.00067
YBR273C	UBX7	S	0.00065
YBR275C	RIF1	S	0.00223
YBR276C	PPS1	S	0.00298
YBR280C	SAF1	S	0.00012
YBR284W	YBR284W	S	0.00395
YBR285W	YBR285W	S	0.00344
YBR290W	BSD2	S	0.00235
YBR291C	CTP1	S	0.00061
YBR293W	VBA2	S	0.00078
YBR295W	PCA1	S	0.01958
YBR296C	PHO89	S	0.0
YBR296C-A	YBR296C-A	S	0.0003
YBR298C	MAL31	S	7e-05
YCL001W	RER1	S	0.00026
YCL004W	PGS1	S	0.00023
YCL005W	LDB16	S	0.00152
YCL005W-A	VMA9	S	5e-05
YCL014W	BUD3	S	0.00013
YCL018W	LEU2	S	0.0005
YCL019W	YCL019W	S	0.00084
YCL020W	YCL020W	S	0.00081
YCL021W-A	YCL021W-A	S	0.00181
YCL025C	AGP1	S	0.00035
YCL027W	FUS1	S	0.00076
YCL034W	LSB5	S	0.00321
YCL035C	GRX1	S	0.0
YCL038C	ATG22	S	0.00029
YCL040W	GLK1	S	0.00011
YCL043C	PDI1	S	0.00844
YCL045C	EMC1	S	0.00022
YCL051W	LRE1	S	0.00492
YCL052C	PBN1	S	0.00209
YCL055W	KAR4	S	0.00038
YCL056C	PEX34	S	0.00354
YCL057C-A	MIC10	S	0.0001
YCL063W	VAC17	S	0.0003
YCL066W	HMLALPHA1	S	0.00016
YCL067C	HMLALPHA2	S	0.00174
YCL069W	VBA3	S	2e-05
YCL073C	GEX1	S	0.00887
YCR004C	YCP4	S	0.00021
YCR005C	CIT2	S	0.00342
YCR007C	YCR007C	S	0.00281
YCR010C	ADY2	S	0.0035
YCR011C	ADP1	S	0.00075
YCR014C	POL4	S	0.00032
YCR015C	YCR015C	S	0.00168
YCR016W	YCR016W	S	0.00052
YCR021C	HSP30	S	0.0
YCR027C	RHB1	S	0.00013
YCR028C	FEN2	S	0.0
YCR037C	PHO87	S	0.02294
YCR038C	BUD5	S	0.00011
YCR039C	MATALPHA2	S	0.00149
YCR040W	MATALPHA1	S	0.00186
YCR043C	YCR043C	S	0.00013
YCR044C	PER1	S	0.0001
YCR045C	RRT12	S	0.00091
YCR047C	BUD23	S	0.0
YCR048W	ARE1	S	0.00501
YCR053W	THR4	S	0.00107
YCR059C	YIH1	S	0.001
YCR060W	TAH1	S	0.00417
YCR061W	YCR061W	S	0.00318
YCR063W	BUD31	S	0.00164
YCR065W	HCM1	S	0.01017
YCR067C	SED4	S	0.00098
YCR068W	ATG15	S	0.00464
YCR073C	SSK22	S	0.00269
YCR073W-A	SOL2	S	0.00103
YCR075C	ERS1	S	0.00074
YCR075W-A	YCR075W-A	S	0.04069
YCR076C	FUB1	S	0.00368
YCR079W	PTC6	S	0.00151
YCR082W	AHC2	S	0.00098
YCR083W	TRX3	S	0.01734
YCR087C-A	YCR087C-A	S	0.00096
YCR089W	FIG2	S	0.00177
YCR090C	YCR090C	S	0.00037
YCR091W	KIN82	S	0.00055
YCR094W	CDC50	S	0.00016
YCR097W	HMRA1	S	0.00037
YCR098C	GIT1	S	0.0
YCR099C	YCR099C	S	0.0
YCR100C	YCR100C	S	0.00039
YCR101C	YCR101C	S	0.00026
YCR102C	YCR102C	S	0.00151
YCR105W	ADH7	S	0.00019
YCR106W	RDS1	S	0.00014
YDL001W	RMD1	S	2e-05
YDL006W	PTC1	S	0.00094
YDL010W	GRX6	S	0.0
YDL012C	YDL012C	S	0.00014
YDL019C	OSH2	S	0.0
YDL020C	RPN4	S	0.0
YDL021W	GPM2	S	0.00112
YDL027C	YDL027C	S	1e-05
YDL033C	SLM3	S	0.00172
YDL035C	GPR1	S	1e-05
YDL037C	BSC1	S	0.0
YDL039C	PRM7	S	0.00124
YDL044C	MTF2	S	8e-05
YDL045C	FAD1	S	9e-05
YDL046W	NPC2	S	7e-05
YDL052C	SLC1	S	0.0
YDL054C	MCH1	S	0.01163
YDL057W	YDL057W	S	0.02188
YDL058W	USO1	S	0.00137
YDL059C	RAD59	S	0.00033
YDL066W	IDP1	S	0.00452
YDL069C	CBS1	S	0.00011
YDL070W	BDF2	S	0.00246
YDL072C	YET3	S	0.00017
YDL073W	YDL073W	S	0.00019
YDL078C	MDH3	S	0.00082
YDL079C	MRK1	S	0.01859
YDL080C	THI3	S	4e-05
YDL085C-A	YDL085C-A	S	0.00079
YDL085W	NDE2	S	0.00017
YDL089W	NUR1	S	0.00182
YDL091C	UBX3	S	0.0
YDL103C	QRI1	S	0.00061
YDL106C	PHO2	S	4e-05
YDL107W	MSS2	S	0.0001
YDL110C	TMA17	S	0.00086
YDL112W	TRM3	S	1e-05
YDL115C	IWR1	S	0.0
YDL117W	CYK3	S	0.0
YDL120W	YFH1	S	0.00405
YDL121C	YDL121C	S	0.00021
YDL122W	UBP1	S	0.00077
YDL123W	SNA4	S	0.0049
YDL124W	YDL124W	S	6e-05
YDL125C	HNT1	S	0.00022
YDL128W	VCX1	S	0.00257
YDL131W	LYS21	S	7e-05
YDL133W	SRF1	S	0.00594
YDL137W	ARF2	S	0.00031
YDL138W	RGT2	S	0.0
YDL139C	SCM3	S	3e-05
YDL141W	BPL1	S	0.00021
YDL144C	YDL144C	S	0.00223
YDL154W	MSH5	S	0.00015
YDL157C	YDL157C	S	1e-05
YDL160C-A	MHF2	S	6e-05
YDL161W	ENT1	S	9e-05
YDL164C	CDC9	S	6e-05
YDL167C	NRP1	S	0.0
YDL168W	SFA1	S	0.0
YDL169C	UGX2	S	0.0
YDL170W	UGA3	S	4e-05
YDL171C	GLT1	S	0.00454
YDL173W	PAR32	S	0.00045
YDL179W	PCL9	S	0.00011
YDL180W	YDL180W	S	0.01238
YDL182W	LYS20	S	0.00129
YDL186W	YDL186W	S	0.00025
YDL189W	RBS1	S	0.00996
