orf	name	type	betw
Gsc2p/Smk1p	Gsc2p/Smk1p	C	0.0
19/22S_regulator	19/22S_regulator	C	0.00135
20S_proteasome	20S_proteasome	C	0.00283
AP-1_adaptor	AP-1_adaptor	C	0.00017
AP-2_adaptor	AP-2_adaptor	C	8e-05
AP-3_adaptor	AP-3_adaptor	C	0.00073
ARGR	ARGR	C	7e-05
Ada2p/Gcn5p/Ada3	Ada2p/Gcn5p/Ada3	C	1e-05
Apg12p/Apg5p/Apg16	Apg12p/Apg5p/Apg16	C	0.02495
Arp2/3	Arp2/3	C	0.00083
Atg20p/Snx4p/Snx41p	Atg20p/Snx4p/Snx41p	C	0.0
Bi3_ribonucleoprotein	Bi3_ribonucleoprotein	C	0.0
Bi4p/Nam2p	Bi4p/Nam2p	C	0.00542
Bni4p/Glc7p	Bni4p/Glc7p	C	0.00092
Bub1p/Bub3p	Bub1p/Bub3p	C	0.0
Bub2p/Bfa1p	Bub2p/Bfa1p	C	7e-05
CAAX-protein_geranylgeranyltransferase	CAAX-protein_geranylgeranyltransferase	C	0.00117
CBF3	CBF3	C	0.01347
CCAAT-binding_factor	CCAAT-binding_factor	C	0.0
CCR4-NOT	CCR4-NOT	C	0.00847
COMA	COMA	C	0.0
COMPASS	COMPASS	C	0.0
COPI	COPI	C	0.00072
COPII	COPII	C	0.00052
CORVET	CORVET	C	6e-05
CURI	CURI	C	0.00102
Car1p/Arg3p	Car1p/Arg3p	C	0.0
Cbf1p/Met4p/Met28p	Cbf1p/Met4p/Met28p	C	0.00065
Cbp1p/Pet309p	Cbp1p/Pet309p	C	0.00248
Cdc24p/Far1p/Gbetagamma	Cdc24p/Far1p/Gbetagamma	C	0.00087
Cdc28p/Clb1p	Cdc28p/Clb1p	C	0.00777
Cdc28p/Clb3p	Cdc28p/Clb3p	C	0.00542
Cdc28p/Clb4p	Cdc28p/Clb4p	C	0.00085
Cdc28p/Clb5p	Cdc28p/Clb5p	C	7e-05
Cdc28p/Clb6p	Cdc28p/Clb6p	C	0.00159
Cdc28p/Cln1p	Cdc28p/Cln1p	C	0.0
Cdc28p/Cln2p	Cdc28p/Cln2p	C	0.00015
Cdc28p/Cln3p	Cdc28p/Cln3p	C	0.0
Cdc48p	Cdc48p	C	0.00014
Cdc7p/Dbf4p	Cdc7p/Dbf4p	C	0.00043
Chs5p/Arf-(ChAPs)	Chs5p/Arf-(ChAPs)	C	0.00062
Chz1p/Htz1p/Htb1p	Chz1p/Htz1p/Htb1p	C	4e-05
Clathrin	Clathrin	C	0.00227
Cox14p/Cox1p/Mss51p	Cox14p/Cox1p/Mss51p	C	0.00616
Csh1p/Csg2p	Csh1p/Csg2p	C	0.00033
Ctf3p_protein_complex	Ctf3p_protein_complex	C	0.00061
Cul3p-RING_ub_ligase	Cul3p-RING_ub_ligase	C	0.00041
Ubiquinol-cytochrome_c_reductase_III	Ubiquinol-cytochrome_c_reductase_III	C	0.01291
Cytochrome_c_oxidase	Cytochrome_c_oxidase	C	0.00071
DASH	DASH	C	0.00525
DNA-directed_RNA_pol_III	DNA-directed_RNA_pol_III	C	0.00014
DNA-directed_RNA_pol_II	DNA-directed_RNA_pol_II	C	0.03749
DNA-directed_RNA_pol_I	DNA-directed_RNA_pol_I	C	6e-05
DNA_ligase_IV	DNA_ligase_IV	C	0.00341
DNA_polymerase_delta	DNA_polymerase_delta	C	0.00564
DNA_polymerase_epsilon	DNA_polymerase_epsilon	C	0.00048
DNA_repl_C_(Ctf18p/Ctf8p/dcc1p)	DNA_repl_C_(Ctf18p/Ctf8p/dcc1p)	C	0.00015
DNA_repl_(Elg1p)	DNA_repl_(Elg1p)	C	0.01358
DNA_repl_(Rad24p)	DNA_repl_(Rad24p)	C	0.00043
DNA_repl_(Rcf1p)	DNA_repl_(Rcf1p)	C	0.00091
DSIF	DSIF	C	0.00018
Dcs1p/Dcs2	Dcs1p/Dcs2	C	0.004
Decapping_Enzyme	Decapping_Enzyme	C	0.00246
Def1p/Rad26p	Def1p/Rad26p	C	0.03705
Dig1p/Ste12p/Dig2p	Dig1p/Ste12p/Dig2p	C	0.01289
Dop1p/Mon2p	Dop1p/Mon2p	C	0.0
Dpb11p/Sld2p	Dpb11p/Sld2p	C	0.00117
Dsl1p	Dsl1p	C	0.00625
EGO	EGO	C	0.00734
EKC/KEOPS_protein	EKC/KEOPS_protein	C	0.00037
