orf	name	type	betw	regulation
20S_proteasome	20S_proteasome	C	0.0353	NA
COPII	COPII	C	0.03115	NA
Ubiquinol-cytochrome_c_reductase_III	Ubiquinol-cytochrome_c_reductase_III	C	0.06704	NA
Cytochrome_c_oxidase	Cytochrome_c_oxidase	C	0.0	NA
DASH	DASH	C	0.0	NA
DNA-directed_RNA_pol_III	DNA-directed_RNA_pol_III	C	0.0	NA
DNA-directed_RNA_pol_II	DNA-directed_RNA_pol_II	C	0.0	NA
DNA-directed_RNA_pol_I	DNA-directed_RNA_pol_I	C	0.0	NA
F0/F1_ATP_synthase	F0/F1_ATP_synthase	C	0.00461	NA
H+-transporting_ATPase,_vacuolar	H+-transporting_ATPase,_vacuolar	C	0.00291	NA
Ino80p	Ino80p	C	0.0004	NA
Kornberg's_mediator	Kornberg's_mediator	C	0.03687	NA
NuA4_histone_acetyltransferase	NuA4_histone_acetyltransferase	C	0.00067	NA
Nuclear_exosome	Nuclear_exosome	C	0.02715	NA
RSC	RSC	C	0.01306	NA
Rpd3L	Rpd3L	C	0.0004	NA
SWI/SNF	SWI/SNF	C	0.00118	NA
Swr1p	Swr1p	C	0.00272	NA
TRAPP	TRAPP	C	0.00046	NA
U2_snRNP	U2_snRNP	C	0.0	NA
U4/U6_x_U5_tri-snRNP	U4/U6_x_U5_tri-snRNP	C	0.0	NA
U5_snRNP	U5_snRNP	C	0.00348	NA
YAL008W	FUN14	S	0.0	0.632
YAL015C	NTG1	S	0.02979	0.434
YAL018C	LDS1	S	0.04384	0.732
YAL029C	MYO4	S	0.00348	0.605
YAL036C	RBG1	S	0.0	0.796
YAL044W-A	YAL044W-A	S	0.04401	NA
YAL046C	AIM1	S	0.00549	0.568
YAL048C	GEM1	S	0.02239	0.54
YAL053W	FLC2	S	0.0	0.47
YAL056W	GPB2	S	0.0	0.541
YAL058W	CNE1	S	0.00408	0.658
YAL059W	ECM1	S	0.0018	0.838
YAR010C	YAR010C	S	0.05541	0.67
YAR028W	YAR028W	S	0.0	0.566
YAR031W	PRM9	S	0.0	0.424
YBL009W	ALK2	S	0.00494	0.726
YBL011W	SCT1	S	0.00302	0.382
YBL020W	RFT1	S	0.00096	0.494
YBL022C	PIM1	S	0.00096	0.57
YBL024W	NCL1	S	0.0045	1.176
YBL029W	YBL029W	S	0.0	0.713
YBL034C	STU1	S	0.0	0.499
YBL036C	YBL036C	S	0.0	0.453
YBL054W	TOD6	S	0.01096	1.165
YBL056W	PTC3	S	0.00504	0.51
YBL064C	PRX1	S	0.00504	1.789
YBL081W	YBL081W	S	0.00571	0.473
YBL088C	TEL1	S	0.00818	0.601
YBL091C-A	SCS22	S	0.0	NA
YBL095W	YBL095W	S	0.06253	0.639
YBR002C	RER2	S	0.0	0.447
YBR004C	GPI18	S	0.19784	0.552
YBR024W	SCO2	S	0.00164	0.558
YBR029C	CDS1	S	0.01605	0.547
YBR035C	PDX3	S	0.0	0.584
YBR037C	SCO1	S	0.0	0.783
YBR044C	TCM62	S	0.0	0.478
YBR046C	ZTA1	S	0.0	1.103
YBR049C	REB1	S	0.0	0.389
YBR052C	RFS1	S	0.0	0.984
YBR054W	YRO2	S	0.00101	1.367
YBR058C	UBP14	S	0.0	0.365
YBR065C	ECM2	S	0.02285	0.545
YBR068C	BAP2	S	0.0	0.98
YBR078W	ECM33	S	0.01741	0.732
YBR083W	TEC1	S	0.0	0.722
YBR085W	AAC3	S	0.0	0.63
YBR086C	IST2	S	0.00084	0.513
YBR094W	PBY1	S	0.0005	0.377
YBR096W	YBR096W	S	0.09194	0.822
YBR101C	FES1	S	0.00874	0.875
YBR108W	AIM3	S	0.0	0.46
YBR110W	ALG1	S	0.0	0.471
YBR117C	TKL2	S	0.0	1.387
YBR121C	GRS1	S	0.0	1.188
YBR125C	PTC4	S	0.02537	0.32
YBR130C	SHE3	S	0.00176	0.534
YBR138C	YBR138C	S	0.00091	0.55
YBR139W	YBR139W	S	0.00067	1.108
YBR140C	IRA1	S	0.0	0.306
YBR155W	CNS1	S	0.0	0.909
YBR158W	AMN1	S	0.0	0.732
YBR166C	TYR1	S	0.0	0.523
YBR169C	SSE2	S	0.0	1.518
YBR172C	SMY2	S	0.0	0.662
YBR173C	UMP1	S	0.00806	0.518
YBR177C	EHT1	S	0.0	0.66
YBR182C	SMP1	S	0.0	0.856
YBR185C	MBA1	S	0.0	0.576
YBR186W	PCH2	S	0.0	0.587
YBR187W	GDT1	S	0.0	0.868
YBR205W	KTR3	S	0.0	0.574
YBR212W	NGR1	S	0.0	0.942
YBR216C	YBP1	S	0.0	0.368
YBR218C	PYC2	S	0.06636	0.443
YBR225W	YBR225W	S	0.0	0.611
YBR227C	MCX1	S	0.0	0.424
YBR230C	OM14	S	0.01931	1.513
YBR235W	VHC1	S	0.0	0.476
YBR236C	ABD1	S	0.01109	0.378
YBR237W	PRP5	S	0.0	0.583
YBR255C-A	YBR255C-A	S	0.0005	NA
YBR259W	YBR259W	S	0.00084	0.404
YBR260C	RGD1	S	0.01116	0.345
YBR262C	MIC12	S	0.0	0.472
YBR264C	YPT10	S	0.0	0.418
YBR267W	REI1	S	0.00167	1.002
YBR270C	BIT2	S	0.00298	0.624
YBR273C	UBX7	S	0.00167	0.534
YBR290W	BSD2	S	0.0	0.636
YBR293W	VBA2	S	0.0	0.409
YBR295W	PCA1	S	0.0	0.646
YBR296C	PHO89	S	0.0	1.888
YBR296C-A	YBR296C-A	S	0.0	NA
YBR298C	MAL31	S	0.0	1.006
YCL001W	RER1	S	0.00423	0.736
YCL005W-A	VMA9	S	0.01732	NA
YCL025C	AGP1	S	0.0	1.136
YCL043C	PDI1	S	0.0	0.752
YCL045C	EMC1	S	0.0	0.7
YCL052C	PBN1	S	0.0	0.532
YCL055W	KAR4	S	0.0	0.56
YCL057C-A	MIC10	S	0.0	NA
